ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),Unnamed: 28,Journal,DOI,Abstract
1,1,2018,6.93,6.86,16.35,0.5,0.865,DICTF-C10,5.67,3.89,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(CCCCCCCCCC)CCCCCCCCCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1019.38,PTB7,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1,1.0,1.5,DCB,,,70.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00012,"Hydrophilic oligo(ethylene glycol) (OEG) side chains are more flexible than alkyl chains and can facilitate the π–π stacking of conjugated polymer backbones, which has been proven to be a key structural feature leading to better device performance in polymer:fullerene blend polymer solar cells (PSCs). So far, little has been known about the influence of OEG side chains on the performance of non-fullerene acceptors in polymer:non-fullerene acceptor blends. Based on an easily accessible conjugated backbone of dicyanomethylene indanone–thiophene–fluorene–thiophene–dicyanometnylene indanone (DICTF), two non-fullerene molecular acceptors were synthesized with decyl (DICTF-C10) and triethylene glycol monoether (DICTF-TEG) side chains to blend with the polymer donor of PTB7-Th for PSCs. Replacing the decyl side chains with the TEGs on DICTF does improve the π–π stacking between the conjugated backbones as expected. For DICTF-TEG, nevertheless, forming the BHJ blend with the PTB7-Th donor leads to unfavorable fil..."
2,1,2018,3.09,2.98,10.31,0.38,0.794,DICTF-TEG,5.68,3.92,1.76,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,1031.21,PTB7,5.15,3.31,1.84,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1,1.0,1.5,DCB,,,70.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00012,"Hydrophilic oligo(ethylene glycol) (OEG) side chains are more flexible than alkyl chains and can facilitate the π–π stacking of conjugated polymer backbones, which has been proven to be a key structural feature leading to better device performance in polymer:fullerene blend polymer solar cells (PSCs). So far, little has been known about the influence of OEG side chains on the performance of non-fullerene acceptors in polymer:non-fullerene acceptor blends. Based on an easily accessible conjugated backbone of dicyanomethylene indanone–thiophene–fluorene–thiophene–dicyanometnylene indanone (DICTF), two non-fullerene molecular acceptors were synthesized with decyl (DICTF-C10) and triethylene glycol monoether (DICTF-TEG) side chains to blend with the polymer donor of PTB7-Th for PSCs. Replacing the decyl side chains with the TEGs on DICTF does improve the π–π stacking between the conjugated backbones as expected. For DICTF-TEG, nevertheless, forming the BHJ blend with the PTB7-Th donor leads to unfavorable fil..."
3,2,2018,8.33,8.12,15.28,0.69,0.79,ITIC,5.54,3.84,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBDTFBz,5.45,3.56,1.89,CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)S9,41.088,21.4,1.92,1.0,1.5,CB,,130,100.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00574,"A novel conjugated D–A polymer, PTBFBz, with asymmetrical thieno[2,3-f]benzofuran (TBF) and fluorobenzotriazole (Bz) units was designed and synthesized for the first time. PTBFBz showed the strong absorption with a wide bandgap of 1.89 eV. Power conversion efficiency of nonfullerene polymer solar cells based on PTBFBz:ITIC with thermal and sequential solvent annealing reached up to 8.33%, which is the highest reported value among the asymmetrical TBF-based polymer solar cells. The results demonstrate that the asymmetrical TBF unit can be one of the most promising building blocks in constructing the wide bandgap polymers for highly efficient polymer solar cells."
4,3,2018,8.67,8.35,14.0,0.5788,1.07,O-IDTBR,5.51,3.88,1.63,O=C(/C(S1)=C/C(C2=NSN=C32)=CC=C3C(S4)=CC5=C4C6=CC(C(CCCCCCCC)(CCCCCCCC)C7=C8SC(C9=CC=C(/C=C%10SC(N(CC)C\%10=O)=S)C%11=NSN=C9%11)=C7)=C8C=C6C5(CCCCCCCC)CCCCCCCC)N(CC)C1=S,1326.02,PBDT-DFQX1,5.46,3.69,1.77,CC1=CC2=C(S1)C(C3=CC=C(SCCCCCCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(SCCCCCCCC)S%11,42.804,16.4,2.61,1.0,1.5,CF,,100,100.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00453,"Reducing voltage loss, namely, Vloss, has been demonstrated to be an effective way to improve the efficiencies of photovoltaic devices, and power conversion efficiencies (PCEs) exceeding 10% have been reported in non-fullerene based polymer solar cells (PSCs) with Vloss value lower than 0.6 V. However, for all polymer solar cells (APSCs), the PCEs lag far behind the non-fullerene PSCs with organic small molecular acceptors. And there have been no successful examples of high-efficiency APSCs along with low Vloss values so far. Here, we reported APSCs that demonstrated a high efficiency of 6.66% simultaneously with a small voltage loss of 0.56 V by using a new polymer PBDT-DFQX1 as donor and N2200 as acceptor. Notably, when PBDT-DFQX1 is combined with a small molecular acceptor (SMA) O-IDTBR, the relative SMA based PSC exhibited a higher PCE of 8.76% also with a low voltage loss of 0.56 V. These results indicated that PBDT-DFQX1 would be a promising polymer donor material in photovoltaic device application,..."
5,4,2018,8.46,8.33,13.95,0.6005,1.01,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PBClT,5.47,3.61,1.86,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC(Cl)=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC(Cl)=C(S7)CC(CCCC)CC)C)=C2S1)C)F)OCC(CCCC)CC,87.52,43.9798995,1.99,1.0,1.0,CB,,,,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00506,"A benzo[1,2-b:4,5-b′]dithiophene-based donor material with chlorine atoms substituted on its side chains, named PBClT, was designed and developed in order to enhance the open-circuit voltage (Voc) without decreasing charge carrier transfer in the corresponding blend films. The chlorinated polymer, PBClT, was an excellent donor material possessing a blue-shifted absorbance, resulting in desired complementary light absorption with low-band gap acceptor materials, for example, ITIC. In addition, the multiple chlorination dramatically decreased the HOMO energy level of PBClT, and the Voc of the corresponding device increased to 1.01 V, which is much higher than that of the nonchlorine analogous, PTB7-Th, with a Voc of approximately 0.82 V. The GIWAXS experiments displayed that PBClT/ITIC blend films showed a “face-on” orientation, which suggested that the chlorine substituents on the side chains favored π–π stacking in the direction perpendicular to the electron flow in photovoltaic devices. Furthermore, the ..."
6,4,2018,6.91,6.8,14.76,0.5709,0.82,ITIC,5.48,3.83,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PTB7-Th,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.0,CB,,,90.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00506,"A benzo[1,2-b:4,5-b′]dithiophene-based donor material with chlorine atoms substituted on its side chains, named PBClT, was designed and developed in order to enhance the open-circuit voltage (Voc) without decreasing charge carrier transfer in the corresponding blend films. The chlorinated polymer, PBClT, was an excellent donor material possessing a blue-shifted absorbance, resulting in desired complementary light absorption with low-band gap acceptor materials, for example, ITIC. In addition, the multiple chlorination dramatically decreased the HOMO energy level of PBClT, and the Voc of the corresponding device increased to 1.01 V, which is much higher than that of the nonchlorine analogous, PTB7-Th, with a Voc of approximately 0.82 V. The GIWAXS experiments displayed that PBClT/ITIC blend films showed a “face-on” orientation, which suggested that the chlorine substituents on the side chains favored π–π stacking in the direction perpendicular to the electron flow in photovoltaic devices. Furthermore, the ..."
7,5,2018,0.7,0.7,2.7,0.43,0.646,PhO-Cl6BsubPc,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,PTB1,5.2,3.61,1.59,CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1,22.9,18.3,1.2,1.0,1.0,DCB,DMB,,154.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00183,"The performance of boron subphthalocyanine (BsubPc) and phenyl-C61-butyric acid methyl ester (PC61BM) as electron-accepting materials in bulk heterojunction organic photovoltaics (OPVs) with a range of reported literature polymers were simultaneously screened to observe if the design criteria for polymeric electron-donating materials, originally designed for pairing with fullerene derivatives, can be applied to non-fullerene electron acceptors. Initially, the morphology and film formation of the BsubPc-containing active layer films was improved by using a volatile additive, 1,2-dimethoxybenzene, which is known to solubilize a BsubPc but not a representative high-performing polymer (PBTZT-stat-BDTT-8). Thereafter, with the resulting semioptimal fabrication parameters, 10 polymeric electron-donating materials were screened with the BsubPc derivative, PhO-Cl6BsubPc (phenoxy-hexachloro-boron-subphthalocyanine), and PC61BM. Device metrics demonstrate that the BsubPc-based devices perform in-line with their ana..."
8,5,2018,2.6,2.6,7.1,0.4,0.911,PhO-Cl6BsubPc,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,PTB7,5.2,3.6,1.6,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,97.5,46.4,2.1,1.0,1.0,DCB,DMB,120,213.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00183,"The performance of boron subphthalocyanine (BsubPc) and phenyl-C61-butyric acid methyl ester (PC61BM) as electron-accepting materials in bulk heterojunction organic photovoltaics (OPVs) with a range of reported literature polymers were simultaneously screened to observe if the design criteria for polymeric electron-donating materials, originally designed for pairing with fullerene derivatives, can be applied to non-fullerene electron acceptors. Initially, the morphology and film formation of the BsubPc-containing active layer films was improved by using a volatile additive, 1,2-dimethoxybenzene, which is known to solubilize a BsubPc but not a representative high-performing polymer (PBTZT-stat-BDTT-8). Thereafter, with the resulting semioptimal fabrication parameters, 10 polymeric electron-donating materials were screened with the BsubPc derivative, PhO-Cl6BsubPc (phenoxy-hexachloro-boron-subphthalocyanine), and PC61BM. Device metrics demonstrate that the BsubPc-based devices perform in-line with their ana..."
9,5,2018,3.8,3.8,10.0,0.42,0.905,PhO-Cl6BsubPc,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,PTB7-Th,5.5,3.9,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,124.0,72.9,1.7,1.0,1.0,DCB,DMB,120,169.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00183,"The performance of boron subphthalocyanine (BsubPc) and phenyl-C61-butyric acid methyl ester (PC61BM) as electron-accepting materials in bulk heterojunction organic photovoltaics (OPVs) with a range of reported literature polymers were simultaneously screened to observe if the design criteria for polymeric electron-donating materials, originally designed for pairing with fullerene derivatives, can be applied to non-fullerene electron acceptors. Initially, the morphology and film formation of the BsubPc-containing active layer films was improved by using a volatile additive, 1,2-dimethoxybenzene, which is known to solubilize a BsubPc but not a representative high-performing polymer (PBTZT-stat-BDTT-8). Thereafter, with the resulting semioptimal fabrication parameters, 10 polymeric electron-donating materials were screened with the BsubPc derivative, PhO-Cl6BsubPc (phenoxy-hexachloro-boron-subphthalocyanine), and PC61BM. Device metrics demonstrate that the BsubPc-based devices perform in-line with their ana..."
10,5,2018,1.8,1.8,5.9,0.38,0.786,PhO-Cl6BsubPc,5.9,3.8,2.1,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,694.97,PDTS-TzTz,5.4,3.6,1.82,CC1=CC2=C(C(SC(C3=CC(CCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(CCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,50.0,25.0,2.0,1.0,1.0,OX,DMB,120,185.0,,ACS Appl. Energy Mater.,10.1021/acsaem.8b00183,"The performance of boron subphthalocyanine (BsubPc) and phenyl-C61-butyric acid methyl ester (PC61BM) as electron-accepting materials in bulk heterojunction organic photovoltaics (OPVs) with a range of reported literature polymers were simultaneously screened to observe if the design criteria for polymeric electron-donating materials, originally designed for pairing with fullerene derivatives, can be applied to non-fullerene electron acceptors. Initially, the morphology and film formation of the BsubPc-containing active layer films was improved by using a volatile additive, 1,2-dimethoxybenzene, which is known to solubilize a BsubPc but not a representative high-performing polymer (PBTZT-stat-BDTT-8). Thereafter, with the resulting semioptimal fabrication parameters, 10 polymeric electron-donating materials were screened with the BsubPc derivative, PhO-Cl6BsubPc (phenoxy-hexachloro-boron-subphthalocyanine), and PC61BM. Device metrics demonstrate that the BsubPc-based devices perform in-line with their ana..."
