,DOI,Abstract
0,10.1021/acsaem.8b00012,"Hydrophilic oligo(ethylene glycol) (OEG) side chains are more flexible than alkyl chains and can facilitate the π–π stacking of conjugated polymer backbones, which has been proven to be a key structural feature leading to better device performance in polymer:fullerene blend polymer solar cells (PSCs). So far, little has been known about the influence of OEG side chains on the performance of non-fullerene acceptors in polymer:non-fullerene acceptor blends. Based on an easily accessible conjugated backbone of dicyanomethylene indanone–thiophene–fluorene–thiophene–dicyanometnylene indanone (DICTF), two non-fullerene molecular acceptors were synthesized with decyl (DICTF-C10) and triethylene glycol monoether (DICTF-TEG) side chains to blend with the polymer donor of PTB7-Th for PSCs. Replacing the decyl side chains with the TEGs on DICTF does improve the π–π stacking between the conjugated backbones as expected. For DICTF-TEG, nevertheless, forming the BHJ blend with the PTB7-Th donor leads to unfavorable fil..."
1,10.1021/acsaem.8b00574,"A novel conjugated D–A polymer, PTBFBz, with asymmetrical thieno[2,3-f]benzofuran (TBF) and fluorobenzotriazole (Bz) units was designed and synthesized for the first time. PTBFBz showed the strong absorption with a wide bandgap of 1.89 eV. Power conversion efficiency of nonfullerene polymer solar cells based on PTBFBz:ITIC with thermal and sequential solvent annealing reached up to 8.33%, which is the highest reported value among the asymmetrical TBF-based polymer solar cells. The results demonstrate that the asymmetrical TBF unit can be one of the most promising building blocks in constructing the wide bandgap polymers for highly efficient polymer solar cells."
2,10.1021/acsaem.8b00453,"Reducing voltage loss, namely, Vloss, has been demonstrated to be an effective way to improve the efficiencies of photovoltaic devices, and power conversion efficiencies (PCEs) exceeding 10% have been reported in non-fullerene based polymer solar cells (PSCs) with Vloss value lower than 0.6 V. However, for all polymer solar cells (APSCs), the PCEs lag far behind the non-fullerene PSCs with organic small molecular acceptors. And there have been no successful examples of high-efficiency APSCs along with low Vloss values so far. Here, we reported APSCs that demonstrated a high efficiency of 6.66% simultaneously with a small voltage loss of 0.56 V by using a new polymer PBDT-DFQX1 as donor and N2200 as acceptor. Notably, when PBDT-DFQX1 is combined with a small molecular acceptor (SMA) O-IDTBR, the relative SMA based PSC exhibited a higher PCE of 8.76% also with a low voltage loss of 0.56 V. These results indicated that PBDT-DFQX1 would be a promising polymer donor material in photovoltaic device application,..."
3,10.1021/acsaem.8b00506,"A benzo[1,2-b:4,5-b′]dithiophene-based donor material with chlorine atoms substituted on its side chains, named PBClT, was designed and developed in order to enhance the open-circuit voltage (Voc) without decreasing charge carrier transfer in the corresponding blend films. The chlorinated polymer, PBClT, was an excellent donor material possessing a blue-shifted absorbance, resulting in desired complementary light absorption with low-band gap acceptor materials, for example, ITIC. In addition, the multiple chlorination dramatically decreased the HOMO energy level of PBClT, and the Voc of the corresponding device increased to 1.01 V, which is much higher than that of the nonchlorine analogous, PTB7-Th, with a Voc of approximately 0.82 V. The GIWAXS experiments displayed that PBClT/ITIC blend films showed a “face-on” orientation, which suggested that the chlorine substituents on the side chains favored π–π stacking in the direction perpendicular to the electron flow in photovoltaic devices. Furthermore, the ..."
4,10.1021/acsaem.8b00183,"The performance of boron subphthalocyanine (BsubPc) and phenyl-C61-butyric acid methyl ester (PC61BM) as electron-accepting materials in bulk heterojunction organic photovoltaics (OPVs) with a range of reported literature polymers were simultaneously screened to observe if the design criteria for polymeric electron-donating materials, originally designed for pairing with fullerene derivatives, can be applied to non-fullerene electron acceptors. Initially, the morphology and film formation of the BsubPc-containing active layer films was improved by using a volatile additive, 1,2-dimethoxybenzene, which is known to solubilize a BsubPc but not a representative high-performing polymer (PBTZT-stat-BDTT-8). Thereafter, with the resulting semioptimal fabrication parameters, 10 polymeric electron-donating materials were screened with the BsubPc derivative, PhO-Cl6BsubPc (phenoxy-hexachloro-boron-subphthalocyanine), and PC61BM. Device metrics demonstrate that the BsubPc-based devices perform in-line with their ana..."
5,10.1021/acsaem.8b00535,"A conjugated polymer donor containing BODIPY-thiophene dyads in the backbone, P(BdP-EHT), combined with a low bandgap nonfullerene acceptor (SMDPP) consisting of carbazole and diketopyrrolopyrrole units linked with a tetracyanobutadiene acceptor π-linker, was used to design bulk heterojunction polymer solar cells. After the optimization of the donor to acceptor weight ratio and solvent vapor annealing of the P(BdP-EHT):SMDPP active layer, the resulting polymer solar cell showed an overall power conversion efficiency of 9.29%, which is significantly higher than that for the polymer solar cell based on PC71BM (7.41%) processed under identical conditions. This improved power conversion efficiency is attributed to enhanced values of short circuit photocurrent and open circuit voltage, the better light harvesting efficiency of the P(BdP-EHT):SMDPP active layer in the near-infrared region, and the higher Lowest Unoccupied Molecular Orbital (LUMO) energy level of the SMDPP as compared to PC71BM, combined. Moreov..."
6,10.1021/acsaem.8b00929,"Three molecular semiconductors are compared and evaluated in organic field-effect transistors and organic solar cells. The molecules are constructed from the dyes diketopyrrolopyrrole (DPP), perylene diimide (PDI), and N-(alkyl)benzothioxanthene-3,4-dicarboximide (BTXI). The compound PDI–DPP–PDI (1) has previously been reported and used as a nonfullerene acceptor. The compounds PDI–DPP–BTXI (2) and BTXI–DPP–BTXI (3) were synthesized using direct (hetero)arylation methods and fully identified using NMR spectroscopy and mass spectrometry. All three compounds were characterized using UV–visible spectroscopy, cyclic voltammetry, and density functional theory calculations. Increasing the BTXI content results in a progressive destabilization of the electronic energy levels. For all compounds, no significant changes in the optical absorption spectra are observed when compared to a combination of the constituent optical absorption spectra. Compound 1 exhibits electron transport characteristics and functions as an..."
7,10.1021/acsami.6b03926,"Carrier mobility is a vital factor determining the electrical performance of organic solar cells. In this paper we report that a high-efficiency nonfullerene organic solar cell (NF-OSC) with a power conversion efficiency of 6.94 ± 0.27% was obtained by optimizing the hole and electron transportations via following judicious selection of polymer donor and engineering of film-morphology and cathode interlayers: (1) a combination of solvent annealing and solvent vapor annealing optimizes the film morphology and hence both hole and electron mobilities, leading to a trade-off of fill factor and short-circuit current density (Jsc); (2) the judicious selection of polymer donor affords a higher hole and electron mobility, giving a higher Jsc; and (3) engineering the cathode interlayer affords a higher electron mobility, which leads to a significant increase in electrical current generation and ultimately the power conversion efficiency (PCE)."
8,10.1021/acsami.6b08284,"Solvent additive has proven as a useful protocol for improving the film nanomorphology of polymer donor (D): fullerene acceptor (A) blends in bulk heterojunction (BHJ) photovoltaic cells. By contrast, the effect of such solvent additive on nonfullerene BHJ cells based on perylene diimide acceptor, for instance, is less effective because of their highly planar structure and strong π-aggregation in solid state. Here we choose N,N'-bis(1-ethylpropyl)-perylene-3,4,9,10-tetracarboxylic diimide (PDI) and thieno[3,4-b]thiophene-alt-benzodithiophene (PTB7) as a model D:A blend system to investigate how solvent engineering strategy synergistically impacts the blend film nanomorphology. Based on the differences of solvent volatility and solubility, various host solvents-chloroform (CF) and chlorobenzene (CB) and solvent additives-chloronaphthalene (CN) and 1,8-diiodooctane (DIO) are selected for comparative studies. It is found that the π-aggregation of PDIs can be largely suppressed by using low-boiling point (Tb) CF solvent, yet enlarged by using high-Tb CB. Moreover, CN additive provides good solubility of PDI molecules and hence reduces large PDI aggregates in CB system, while DIO exhibiting poor solubility works oppositely. By contrast, DIO that presents larger Tb difference with CF prolongs the film-forming, which assists in optimizing the PDI aggregation and increases the intermixed PTB7:PDI phases more significantly than CN in CF system, yielding the finest phase-separation morphology and balanced charge mobility. Consequently, the inverted BHJ cells based on CF-processed PTB7:PDI blend film with 0.4 vol % DIO exhibit the highest PCE of 3.55% with a fill factor of 56%, both of which are among the best performance for such a paradigm PTB7:PDI blend-based BHJ cells."
9,10.1021/acsami.6b15707,"New small molecules having modified acceptor strength and π-conjugation length and containing dicyanovinylene (DCV) and tricyanovinylene (TCV) as a strongly electron-accepting unit with indacenodithiophene, IDT(DCV)2, IDT(TCV)2, and IDTT(TCV)2, were synthesized and studied in terms of their applicability to polymer solar cells with PTB7-Th as an electron-donating polymer. Intriguingly, the blended films containing IDT(TCV)2 and IDTT(TCV)2 exhibited superior shelf life stabilities of more than 1000 h without any reduction in the initial power conversion efficiency. The low-lying lowest unoccupied molecular orbital energy levels and robust internal morphologies of small TCV-containing molecules could afford excellent shelf life stability."
