paper_id,doi,publisher
1,10.1063/1.2899996,American Institute of Physics (AIP)
2,10.1002/adma.200602496,Wiley
3,10.1021/ja710079w,American Chemical Society Publications (ACS)
4,10.1038/ncomms6293,Nature
5,10.1038/NPHOTON.2009.192,Nature
6,10.1021/ja806687u,American Chemical Society Publications (ACS)
7,10.1038/NPHOTON.2015.84,Nature
8,10.1002/adma.201503801,Wiley
9,10.1038/ncomms10085,Nature
10,10.1038/nmat1574,Nature
11,10.1021/jp8043016,American Chemical Society Publications (ACS)
12,10.1002/adma.201301476,Wiley
13,10.1002/adma.200903528,Wiley
14,10.1039/c4ee01529k,Royal Society of Chemistry
15,10.1039/b512373a,Royal Society of Chemistry
16,10.1002/adfm.200600171,Wiley
17,10.1038/NPHOTON.2009.69,Nature
18,10.1021/ja0771989,American Chemical Society Publications (ACS)
19,10.1002/marc.201000038,Wiley
20,10.1021/ma100039q,American Chemical Society Publications (ACS)
21,10.1002/marc.200800440,Wiley
22,10.1021/ja907506r,American Chemical Society Publications (ACS)
23,,
24,10.1063/1.3508951,American Institute of Physics (AIP)
25,10.1021/ma9025866,American Chemical Society Publications (ACS)
26,10.1021/cm901487f,American Chemical Society Publications (ACS)
27,10.1021/ma902398q,American Chemical Society Publications (ACS)
28,10.1021/ma9012972,American Chemical Society Publications (ACS)
29,10.1021/cm100661z,American Chemical Society Publications (ACS)
30,10.1002/pola.23931,Wiley
31,10.1021/ja808373p,American Chemical Society Publications (ACS)
32,10.1021/ja9064975,American Chemical Society Publications (ACS)
33,10.1039/c2jm34629j,Royal Society of Chemistry
34,10.1039/c0cc00098a,Royal Society of Chemistry
35,10.1021/ma101878w,American Chemical Society Publications (ACS)
36,10.1021/ja200314m,American Chemical Society Publications (ACS)
37,10.1021/ma800820r,American Chemical Society Publications (ACS)
38,10.1002/adma.201403080,Wiley
39,10.1021/ja101888b,American Chemical Society Publications (ACS)
40,10.1021/ma301900h,American Chemical Society Publications (ACS)
41,10.1021/acs.macromol.5b00829,American Chemical Society Publications (ACS)
42,10.1002/adma.201301174,Wiley
43,10.1002/adma.201200995,Wiley
44,10.1002/aenm.201300031,Wiley
45,10.1021/jp312450p,American Chemical Society Publications (ACS)
46,10.1039/c3py01519j,Royal Society of Chemistry
47,10.1021/acs.macromol.5b00251,American Chemical Society Publications (ACS)
48,10.1021/ja901545q,American Chemical Society Publications (ACS)
49,10.1039/c5py00071h,Royal Society of Chemistry
50,10.1021/ja103275u,American Chemical Society Publications (ACS)
51,10.1002/adfm.201201535,Wiley
52,10.1007/s40843-015-0036-3,Springer
53,10.1021/ja108601g,American Chemical Society Publications (ACS)
54,10.1002/adma.201304427,Wiley
55,10.1021/ja1112595,American Chemical Society Publications (ACS)
56,10.1039/c2cc17708k,Royal Society of Chemistry
57,10.1021/ma301053q,American Chemical Society Publications (ACS)
58,10.1039/c2py20910a,Royal Society of Chemistry
59,10.1039/c3ra41140k,Royal Society of Chemistry
60,10.1039/c1cc12040a,Royal Society of Chemistry
61,10.1039/c0py00136h,Royal Society of Chemistry
62,10.1039/c2ta00474g,Royal Society of Chemistry
63,10.1021/ma302596k,American Chemical Society Publications (ACS)
64,10.1039/c3py01018j,Royal Society of Chemistry
65,10.1016/j.orgel.2012.12.003,Elsiver
66,10.1002/anie.200906934,Wiley
67,10.1002/adma.201301494,Wiley
68,10.1016/j.synthmet.2013.11.009,Elsevier
69,10.1039/c3ta11968h,Royal Society of Chemistry
70,10.1021/ma401897b,American Chemical Society Publications (ACS)
71,10.1039/c4tc00738g,Royal Society of Chemistry
72,10.1021/ja309289u,American Chemical Society Publications (ACS)
73,10.1039/c0jm04166a,Royal Society of Chemistry
74,10.1002/pola.26545,Wiley
75,10.1021/ja409881g,American Chemical Society Publications (ACS)
76,10.1002/adfm.201300093,Wiley
77,10.1039/c1py00364j,Royal Society of Chemistry
78,10.1021/ma202656b,American Chemical Society Publications (ACS)
79,10.1021/ma4005555,American Chemical Society Publications (ACS)
80,10.1039/c3py00940h,Royal Society of Chemistry
81,10.1039/c2jm32931j,Royal Society of Chemistry
82,10.1039/c3py01231j,Royal Society of Chemistry
83,10.1002/adma.201303059,Wiley
84,10.1021/jp909183x,American Chemical Society Publications (ACS)
85,,
86,10.1039/c3cc44676j,Royal Society of Chemistry
87,10.1002/anie.201302319,Wiley
