,DOI,Year,Title,Abstract
0,10.1063/1.2899996,2008,"Organic bulk heterojunction solar cells using poly(2,5-bis(3-tetradecyllthiophen-2-yl)thieno[3,2,-b]thiophene)","By transitioning to semicrystalline polymers, the performance of polymer-based solar cells has recently increased to over 5% [W. Ma et al., Adv. Fund. Mater. 15, 1665 (2005); G. Li et al., Nat. Mater. 4, 864 (2005); M. Reyes-Reyes et al., Org. Lett. 7, 5749 (2005); J. Y. Kim et al., Adv. Mater. (Weinheim, Ger.) 18, 572 (2005); J. Peet et al., Nat. Mater. 6, 497 (2007)]. Poly(2,5-bis(3-tetradecyllthiophen-2-yl)thieno[3,2-b]thiophene) (pBTTT) has caused recent excitement in the organic electronics community because of its high reported hole mobility (0.6cm2V−1s−1) that was measured in field effect transistors and its ability to form large crystals. In this letter, we investigate the potential of pBTTT as light absorber and hole transporter in a bulk heterojunction solar cell. We find that the highest efficiency of 2.3% is achieved by using a 1:4 blend of pBTTT and[6,6]-phenyl C61-butyric acid methyl ester. The hole mobility as measured by space charge limited current modeling was found to be 3.8×10−4cm2V−1s..."
1,10.1002/adma.200602496,2007,"A Low‐Bandgap Poly(2,7‐Carbazole) Derivative for Use in High‐Performance Solar Cells",Harvesting energy directly from sunlight using photovoltaic cells (PCs) is a very important way to address growing global energy needs with a renewable resource while minimizing detrimental effects on the environment
2,10.1021/ja710079w,2008,Processing additives for improved efficiency from bulk heterojunction solar cells.,"Two criteria for processing additives introduced to control the morphology of bulk heterojunction (BHJ) materials for use in solar cells have been identified: (i) selective (differential) solubility of the fullerene component and (ii) higher boiling point than the host solvent. Using these criteria, we have investigated the class of 1,8-di(R)octanes with various functional groups (R) as processing additives for BHJ solar cells. Control of the BHJ morphology by selective solubility of the fullerene component is demonstrated using these high boiling point processing additives. The best results are obtained with R = Iodine (I). Using 1,8-diiodooctane as the processing additive, the efficiency of the BHJ solar cells was improved from 3.4% (for the reference device) to 5.1%."
3,10.1021/ja806687u,2008,"Synthesis, characterization, and photovoltaic properties of a low band gap polymer based on silole-containing polythiophenes and 2,1,3-benzothiadiazole.","A new low band gap silole-containing conjugated polymer, PSBTBT, was designed and synthesized. Photovoltaic properties of PSBTBT were initially investigated, and an average power conversion efficiency (PCE) of 4.7% with a best PCE of 5.1% was recorded under illumination (AM 1.5G, 100 mW/cm(2)). The response range of the device covers the whole visible range from 380 to 800 nm. These results indicate that PSBTBT is a promising polymer material for applications in polymer solar cells."
4,10.1002/adma.201503801,2016,Nonfullerene Polymer Solar Cells with 8.5% Efficiency Enabled by a New Highly Twisted Electron Acceptor Dimer,"Fullerene-free and processing additive-free 8.5% efficient polymer solar cells are achieved by using a new 3,4-ethylenedioxythiophene-linked arylene diimide dimer with a 76° twist angle. The devices combine high (78-83%) external quantum efficiency with high (0.91-0.95 V) photovoltages and thus have relatively low optical bandgap energy loss."
5,10.1021/JP8043016,2008,Effect of Polymer Nanoparticle Formation on the Efficiency of Polythiophene Based “Bulk-Heterojunction” Solar Cells,"Polythiophenes are being intensively studied for use in polymer/fullerene bulk-heterojunction photovoltaic (PV) devices because they absorb light throughout the entire visible spectrum and show high hole mobility, which are the two most important parameters for a successful donor in these devices. A large body of anecdotal information exists about what morphological features lead to a high efficiency bulk-heterojunction PV device, but few design parameters for improved polymers exist. We compare two polythiophene isomers, poly(3-hexylthiophene) (P3HT) and poly(3,3′′′-didodecylquaterthiophene) (PQT-12) to determine which parameters make these two polymers more and less suitable for use in bulk-heterojunction solar cells. We find that although they have nearly identical absorption spectra and hole mobilities, the PV devices made using P3HT are far superior to those made using PQT-12 because the PQT-12 forms crystalline nanoparticles in solution that do not form electrical connections in the thin films. The ..."
6,10.1002/adma.201301476,2013,Fullerene Derivative‐Doped Zinc Oxide Nanofilm as the Cathode of Inverted Polymer Solar Cells with Low‐Bandgap Polymer (PTB7‐Th) for High Performance,"Modification of a ZnO cathode by doping it with a hydroxyl-containing derivative - giving a ZnO-C60 cathode - provides a fullerene-derivative-rich surface and enhanced electron conduction. Inverted polymer solar cells with the ZnO-C60 cathode display markedly improved power conversion efficiency compared to those with a pristine ZnO cathode, especially when the active layer includes the low-bandgap polymer PTB7-Th."
7,10.1002/adma.200903528,2010,For the Bright Future—Bulk Heterojunction Polymer Solar Cells with Power Conversion Efficiency of 7.4%,"Sun is the largest carbon-neutral energy source that has not been fully utilized. Although there are solar cell devices based on inorganic semiconductor to efficiently harvest solar energy, the cost of these conventional devices is too high to be economically viable. This is the major motivation for the development of organic photovoltaic (OPV) materials and devices, which are envisioned to exhibit advantages such as low cost, flexibility, and abundant availability. [1] The past success in organic light-emitting diodes provides scientists with confidence that organic photovoltaic devices will be a vital alternate to the inorganic counterpart. At the heart of the OPV technology advantage is the easiness of the fabrication, which holds the promise of very low-cost manufacturing process. A simple, yet successful technique is the solution-processed bulk heterojunction (BHJ) solar cell composed of electron-donating semiconducting polymers and electron-withdrawing fullerides as active layers. [2] The composite active layer can be prepared as a large area in a single step by using techniques such as spin-coating, inkjet-printing, spraycoating, gravure-coating, roller-casting etc. [3] In the last fifteen years, a significant progress has been made on the improvement of the power-conversion efficiency (PCE) of polymer BHJ solar cells, and the achieved efficiencies have evolved from less than 1% in the poly(phenylene vinylene) (PPV) system in 1995, [2] to 4‐5% in the poly(3-hexylthiphene) (P3HT) system in 2005, [4] to around 6%, as reported recently. [5] However, the efficiency of polymer solar cells is still significantly lower than their inorganic counterparts, such as silicon, CdTe and CIGS, which prevents practical applications in large scale."
8,10.1039/C4EE01529K,2014,Semi-crystalline photovoltaic polymers with efficiency exceeding 9% in a ∼300 nm thick conventional single-cell device,"We report a series of semi-crystalline, low band gap (LBG) polymers and demonstrate the fabrication of highly efficient polymer solar cells (PSCs) in a thick single-cell architecture. The devices achieve a power conversion efficiency (PCE) of over 7% without any post-treatment (annealing, solvent additive, etc.) and outstanding long-term thermal stability for 200 h at 130 °C. These excellent characteristics are closely related to the molecular structures where intra- and/or intermolecular noncovalent hydrogen bonds and dipole–dipole interactions assure strong interchain interactions without losing solution processability. The semi-crystalline polymers form a well-distributed nano-fibrillar networked morphology with PC70BM with balanced hole and electron mobilities (a h/e mobility ratio of 1–2) and tight interchain packing (a π–π stacking distance of 3.57–3.59 A) in the blend films. Furthermore, the device optimization with a processing additive and methanol treatment improves efficiencies up to 9.39% in a ∼300 nm thick conventional single-cell device structure. The thick active layer in the PPDT2FBT:PC70BM device attenuates incident light almost completely without damage in the fill factor (0.71–0.73), showing a high short-circuit current density of 15.7–16.3 mA cm−2. Notably, PPDT2FBT showed negligible changes in the carrier mobility even at ∼1 μm film thickness."
9,10.1039/B512373A,2006,"Poly(2,7-carbazole) and perylene tetracarboxydiimide: a promising donor/acceptor pair for polymer solar cells","A highly soluble polycarbazole (PCz) has been synthesized, and used as a donor material with perylene tetracarboxydiimide (PDI) as an acceptor and light harvesting material in bulk-heterojunction solar cells. This donor/acceptor (D/A) pair shows a broad absorption fit within the solar spectrum, and balanced potential levels for charge separation at the D/A interface. The best photovoltaic device exhibits a high external quantum efficiency (EQE) of 16% at 490 nm and a power efficiency of 0.6% under illumination with solar light. The morphology of PCz/PDI films studied by SEM showed the formation of a favorable micro-phase separation, which is important in obtaining high efficiency. Incorporation of poly(3-hexyl)thiophene (P3HT) instead of PCz as donor produced a much lower Voc and thus a lower efficiency in solar cells."
