,DOI,Year,Title,Abstract
0,10.1002/jsid.1058,2021,"Prospects and challenges of mini‐LED, OLED, and micro‐LED displays","Recently, “liquid crystal display (LCD), organic light‐emitting diode (OLED), or micro‐light‐emitting diode (LED): who wins?” is a heated debatable question. In this review article, we provide a comprehensive overview of these three promising display technologies through nine display performance indicators, including ambient contrast ratio, motion picture response time, viewing angle and angular color shift, color gamut, resolution density, power consumption, cost, lifetime, and thin profile and panel flexibility. The advantages and disadvantages of each technology are analyzed, and their future perspectives are discussed."
1,10.1002/adfm.201808803,2019,Recent Advances in OLED Optical Design,"Organic light‐emitting diodes (OLEDs) have become a mainstream display technology in consumer electronics. Self‐emitting ability, transparency, true dark tone, and capability of being made flexible are some of the features of OLED displays, leading to a superior performance compared with liquid crystal displays. In addition to displays, OLEDs are also a strong candidate for lighting applications. Despite great advances in improving the internal quantum efficiency of an OLED to nearly 100%, the external quantum efficiency is still lacking behind due to optical losses. This review reports the latest advances in the optical design of OLEDs that address the external coupling efficiency of OLEDs. Discussed at first are the fundamentals of OLED optics and how the refractive indices of different layers in an OLED stack affect the extraction efficiency. Then, this paper reviews how microlens arrays, scattering layers, and corrugated structures can be used to recover the optical losses and improve the external efficiency, and the general optical designs for different optical structures for light extraction are presented."
2,10.1021/acsami.1c09189,2021,Why Do We Still Need a Stable Long Lifetime Deep Blue OLED Emitter?,"The need for a high efficiency deep blue organic emitter with narrow emission line width has never been so great. This is driven by the need to simplify the complex OLED stack for displays to enable larger substrate sizes to be used and greatly increase production yields. Here, the merits of using the hyperfluorescence scheme based around new multiresonance boron nitrogen molecules typified by DABNA type emitters are discussed and key requirements for suitable sensitizer hosts described, especially the photophysical requirements for optimal performance."
3,10.1126/science.abc8530,2020,"Metasurface-driven OLED displays beyond 10,000 pixels per inch","Metasurface-based microdisplays Organic light-emitting diodes (OLEDs) have found wide application in high-resolution, large-area televisions and the handheld displays of smartphones and tablets. With the screen located some distance from the eye, the typical number of pixels per inch is in the region of hundreds. For near-eye microdisplays—for example, in virtual and augmented reality applications—the required pixel density runs to several thousand pixels per inch and cannot be met by present display technologies. Joo et al. developed a full-color, high-brightness OLED design based on an engineered metasurface as a tunable back-reflector. An ultrahigh density of 10,000 pixels per inch readily meets the requirements for the next-generation microdisplays that can be fabricated on glasses or contact lenses. Science, this issue p. 459 Metasurface-driven organic light-emitting diodes produce high-pixel-density, full-color displays with high brightness and a wide color gamut. Optical metasurfaces are starting to find their way into integrated devices, where they can enhance and control the emission, modulation, dynamic shaping, and detection of light waves. In this study, we show that the architecture of organic light-emitting diode (OLED) displays can be completely reenvisioned through the introduction of nanopatterned metasurface mirrors. In the resulting meta-OLED displays, different metasurface patterns define red, green, and blue pixels and ensure optimized extraction of these colors from organic, white light emitters. This new architecture facilitates the creation of devices at the ultrahigh pixel densities (>10,000 pixels per inch) required in emerging display applications (for instance, augmented reality) that use scalable nanoimprint lithography. The fabricated pixels also offer twice the luminescence efficiency and superior color purity relative to standard color-filtered white OLEDs."
4,10.1021/acs.chemrev.0c00936,2021,Molecular Design of Luminescent Gold(III) Emitters as Thermally Evaporable and Solution-Processable Organic Light-Emitting Device (OLED) Materials.,"The advancement of high-efficiency luminescent and thermally stable organometallic complexes has offered opportunities for the commercialization of metal phosphors for fabricating organic light-emitting devices (OLEDs). Since the first report on the potential use of iridium(III) and platinum(II) complexes for applications in OLEDs in the late 1990s, extensive efforts have been made by researchers on the development of various heavy metal-containing compounds with rich photophysical and luminescence properties and the engineering of device architectures to improve device efficiencies. Apart from the more well-studied iridium(III) and platinum(II) complexes, complexes of gold(III) recently have demonstrated their capabilities to serve as phosphorescent or thermally stimulated delayed phosphorescent or thermally activated delayed fluorescent emitters, and their promising performances in OLEDs have attracted growing interest in the past decade. Nowadays, complexes of gold(III) with emission energies ranging from sky-blue to near-infrared with high electroluminescence performances have been obtained. In addition, high-efficiency vacuum-deposited and solution-processed OLEDs with benchmark efficiencies comparable to those of the iridium(III) and platinum(II) complexes have been realized. This Focus Review summarizes the development of various series of luminescent gold(III) complexes to date and highlights important milestones in the development and advancement of gold(III)-based OLEDs. Focus will be made on the molecular design strategies for gold(III) emitters for application as dopants in OLEDs, including those fabricated by vacuum-deposition and solution-processing techniques."
5,10.1002/adma.202001248,2020,An Ultraviolet Thermally Activated Delayed Fluorescence OLED with Total External Quantum Efficiency over 9%,"Owing to the difficulty in acquiring compounds with combined high energy bandgaps and lower‐lying intramolecular charge‐transfer excited states, the development of ultraviolet (UV) thermally activated delayed fluorescence (TADF) materials is quite challenging. Herein, through interlocking of the diphenylsulfone (PS) acceptor unit of a reported deep‐blue TADF emitter (CZ‐PS) by a dimethylmethylene bridge, CZ‐MPS, a UV‐emissive TADF compound bearing a shallower LUMO energy level and a more rigid structure than those of CZ‐PS is achieved. This represents the first example of a UV‐emissive TADF compound. Organic light‐emitting diode (OLED) using CZ‐MPS as the guest material can emit efficient UV light with emission maximum of 389 nm and maximum total external quantum efficiency (EQEmax) of 9.3%. Note that this EQEmax value is twice as high as the current record EQEmax (4.6%) for UV‐OLEDs. This finding may shed light on the molecular design strategy for high‐performance UV‐OLED materials."
6,10.1021/acsami.0c01048,2020,"Highly Transparent, Highly Thermally Stable Nanocellulose/Polymer Hybrid Substrates for Flexible OLED Devices.","Flexible organic light-emitting diode (OLED) devices based on polymer substrates have attracted worldwide attention. However, the current OLED polymer substrates are limited to weak thermal stability, which is not compatible with the high-temperature in OLED fabrication. Here, we developed a novel nanocellulose/polyarylate (PAR) hybrid polymer substrate with both high transparency and excellent thermal properties. Benefiting from the nanometer scale of the cellulose nanofibrils (CNFs) and the efficient interfacial interaction with PAR, the substrate exhibited greatly improved thermal stability, with a glass transition temperature of 192°C, the thermal decomposition temperature of 501°C, and upper operating temperature up to over 220°C. Meanwhile, the hybrid substrate exhibits outstanding mechanical properties. Notably, no apparent transparency loss was observed after the CNF addition, and the hybrid substrate maintains a high transmittance of 85% and a low haze of 1.75%@600 nm. Moreover, OLED devices fabricated on the hybrid substrates exhibit much improved optoelectrical performance than that fabricated on the conventional PET substrates. We anticipate this research will open up a new route for fabricating flexible high-performance OLEDs."
7,10.1002/adfm.202004838,2020,Maximizing Chiral Perturbation on Thermally Activated Delayed Fluorescence Emitters and Elaboration of the First Top‐Emission Circularly Polarized OLED,"Molecular designs merging circularly polarized luminescence (CPL) and thermally activated delayed fluorescence (CP‐TADF) using the concept of chiral perturbation appeared recently as a cornerstone for the development of efficient CP‐organic light emitting diodes (CP‐OLED). Such devices could strongly increase the energy efficiency and performances of conventional OLED displays, in which 50% of the emitted light is often lost due to the use of antiglare filters. In this context, herein, ten couples of enantiomers derived from novel chiral emitter designs are reported, exhibiting CPL, TADF, and aggregation induced enhancement emission properties (AIEE). Representing the first structure properties relationship investigation for CP‐TADF materials, this thorough experimental and theoretical work brings crucial findings on the key structural and electronic parameters (isomerism, nature of the carbazole substituents) governing the synergy between CPL and TADF properties. To conclude this study, the first top emission CP‐OLED is elaborated as a new approach of generating CP light in comparison with classical bottom‐emission CP‐OLED architecture. Indeed, the top‐emission configuration represents the only relevant device architecture for future microdisplay applications. Thereby, in addition to offer molecular guidelines to combine efficiently TADF and CPL properties, this study opens new avenues toward practical applications for CP‐OLEDs."
8,10.1002/adom.201800512,2018,"Small‐Molecule Emitters with High Quantum Efficiency: Mechanisms, Structures, and Applications in OLED Devices","Organic emitters play a vital role in determining the overall performance of organic light emitting diode (OLED) devices. Traditional fluorescent emitters can only achieve external quantum efficiency (EQE) of 5%, far below expectation; therefore many efforts have been spent on increasing the EQE of OLEDs. Phosphorescence, thermally activated delayed fluorescence, triplet–triplet annihilation, and hybridized local and charge transfer are the most widely applied approaches to harvest the 75% triplet excitons for luminescence. As for selecting or designing suitable emitters for practical applications, it is strongly demanded to have an overall view about emitters of high exciton utilizing efficiency (EUE) from molecule level, i.e., the four common approaches mentioned above and some latest ones of the doublet, singlet fission, triplet–polar annihilation, and rotationally accessed spin state inversion, and also from the aggregated state such as aggregation‐induced emission. In this review, the current progress of highly efficient emitters is presented, covering the chemical structures, the high‐EUE mechanisms in molecule level and aggregated state, and their applications in OLED devices. This review hopefully will illustrate highly efficient electroluminescent materials and their mechanisms, but more importantly, provide helpful information on how to design or select suitable emitters for specific OLED devices."
9,10.1080/15980316.2019.1572662,2019,"Progress of display performances: AR, VR, QLED, OLED, and TFT","ABSTRACT In 2018, great progress in display performances was achieved in the field of virtual reality (VR), augmented reality (AR), quantum dot light-emitting diode (QLED), and organic light-emitting diode (OLED) displays, in addition to the thin-film transistor (TFT) for displays. In this work, the recent progress of the device performances in each display field was summarized, and the future direction of each technology was proposed."
