,DOI,Year,Title,Abstract
0,10.12688/gatesopenres.14511.1,2023,Complexity of options related to restarting oral poliovirus vaccine (OPV) in national immunization programs after OPV cessation,"Background: The polio eradication endgame continues to increase in complexity. With polio cases caused by wild poliovirus type 1 and circulating vaccine-derived polioviruses of all three types (1, 2 and 3) reported in 2022, the number, formulation, and use of poliovirus vaccines poses challenges for national immunization programs and vaccine suppliers. Prior poliovirus transmission modeling of globally-coordinated type-specific cessation of oral poliovirus vaccine (OPV) assumed creation of Sabin monovalent OPV (mOPV) stockpiles for emergencies and explored the potential need to restart OPV if the world reached a specified cumulative threshold number of cases after OPV cessation. Methods: We document the actual experience of type 2 OPV (OPV2) cessation and reconsider prior modeling assumptions related to OPV restart. We develop updated decision trees of national immunization options for poliovirus vaccines considering different possibilities for OPV restart. Results: While OPV restart represented a hypothetical situation for risk management and contingency planning to support the 2013-2018 Global Polio Eradication Initiative (GPEI) Strategic Plan, the actual epidemiological experience since OPV2 cessation raises questions about what, if any, trigger(s) could lead to restarting the use of OPV2 in routine immunization and/or plans for potential future restart of type 1 and 3 OPV after their respective cessation. The emergency use listing of a genetically stabilized novel type 2 OPV (nOPV2) and continued evaluation of nOPV for types 1 and/or 3 add further complexity by increasing the combinations of possible OPV formulations for OPV restart. Conclusions: Expanding on a 2019 discussion of the logistical challenges and implications of restarting OPV, we find a complex structure of the many options and many issues related to OPV restart decisions and policies as of early 2023. We anticipate many challenges for forecasting prospective vaccine supply needs during the polio endgame due to increasing potential combinations of poliovirus vaccine choices."
1,10.1002/aenm.202001864,2020,Material Strategies to Accelerate OPV Technology Toward a GW Technology,"With the rise of the solar power century, photovoltaic applications and installations will go beyond the traditional green field power plants and enter any aspect of daily life. Organic photovoltaics (OPVs) demonstrate certified cell efficiencies of over 17% and are expected to contribute to versatile applications powered by solar energy, for instance, applications rely on flexibility, transparency, color management, or integrability. In this work, the progress of OPV technology is briefly reviewed and the material strategies to accelerate OPV technology toward a GW era are analyzed. In addition to the exciting efficiency values achieved for small area devices, there are many important criteria deciding the success of OPV technology. By taking into consideration the synthetic complexity of OPV materials and the operational stability of OPV devices, the industrial figure of merit (i‐FoM) is proposed as a fast and reliable method to verify the true potential of a novel material. Furthermore, “soft” key performance indicators are introduced, such as toxicity, flexibility, transparency, processing, which require different development strategies to reflect the potential of OPV technology for specific applications."
2,10.1002/adma.201907801,2019,Beyond Ternary OPV: High‐Throughput Experimentation and Self‐Driving Laboratories Optimize Multicomponent Systems,"Fundamental advances to increase the efficiency as well as stability of organic photovoltaics (OPVs) are achieved by designing ternary blends, which represents a clear trend toward multicomponent active layer blends. The development of high‐throughput and autonomous experimentation methods is reported for the effective optimization of multicomponent polymer blends for OPVs. A method for automated film formation enabling the fabrication of up to 6048 films per day is introduced. Equipping this automated experimentation platform with a Bayesian optimization, a self‐driving laboratory is constructed that autonomously evaluates measurements to design and execute the next experiments. To demonstrate the potential of these methods, a 4D parameter space of quaternary OPV blends is mapped and optimized for photostability. While with conventional approaches, roughly 100 mg of material would be necessary, the robot‐based platform can screen 2000 combinations with less than 10 mg, and machine‐learning‐enabled autonomous experimentation identifies stable compositions with less than 1 mg."
3,10.7575/aiac.ijels.v.9n.4p.45,2021,Using Online Photovoice (OPV) to Understand Youths’ Perceptions of Distance Education during COVID-19,"In this study we aimed to investigate young college students’ experienced problems and support resources regarding online or distance education during the COVID-19 pandemic. We used an innovative technique, Online Photovoice (OPV) method to collect data. The research includes the theoretical framework created to understand the factors that facilitate and complicate online/distance education processes for prospective teachers in the COVID-19 pandemic. Therefore, the framework consisted of Ecological Systems Theory (EST), Community-Based Participatory Research (CBPR), and OPV. In the analysis of the data, we used Online Interpretive Phenomenological Analysis (OIPA). The study sample consisted of 153 young university students in three universities in the south and southeast of Turkey. The data collection tool was created as an online form consisting of four parts: introduction, general information, and consent form; questions on the most important facilitator and the most important barrier in your life for your online/distance education during the COVID-19 process using OPV; and demographic questions section. When the facilitating factors obtained from the study data were examined, 11 main themes emerged. These main themes were having online or distance education (37%), technology, computer, internet, and helpful course programs (30%), and private space (10%). On the other hand, 16 complicating main themes have emerged including insufficient technology (32%), problems with online education (15%), and financial issues (12%). The participants attributed facilitators and barriers to EST levels, respectively: individual/intrapsychic factors (47%, 43%), microsystem (19%, 48%), exosystem (36%, 37%), and macrosystem (26%, 34%)."
4,10.1109/JPHOTOV.2021.3052767,2021,Outdoor Assessment and Performance Evaluation of OPV Modules,"Organic photovoltaic (OPV) modules have significant advantages over conventional PV technologies drawing the attention of R&D activities. The OPV efficiency is increasing closing the gap against silicon-based modules. This article describes an experimental campaign performed at SolarTechLAB to assess the performance of six OPV modules in real environmental conditions (module nominal power 17.5 Wp). The first part of the activity was dedicated to the photoactivation process, which is a well-known phenomenon of this kind of modules. Measurements pointed out that the OPV modules reach stable conditions after collecting 10 kWh/m2 of solar radiation independently from the module conditions during the procedure. A second relevant result is about the reversibility of the photoactivation process: experiments showed that activated modules left in the dark for several days lose the activation indicating the reversibility of the process. Finally, in the second part, the performances of the six OPV modules have been analyzed and benchmarked against silicon (c-Si) and CIS photovoltaic technology. The measured electric efficiency of the six OPV modules under real environmental conditions was below 4%, which is significantly lower than 20% and 15% measured for c-Si and CIS modules under the same conditions."
5,10.1111/risa.13555,2020,Updated Characterization of Post‐OPV Cessation Risks: Lessons from 2019 Serotype 2 Outbreaks and Implications for the Probability of OPV Restart,"After the globally coordinated cessation of any serotype of oral poliovirus vaccine (OPV), some risks remain from undetected, existing homotypic OPV‐related transmission and/or restarting transmission due to several possible reintroduction risks. The Global Polio Eradication Initiative (GPEI) coordinated global cessation of serotype 2‐containing OPV (OPV2) in 2016. Following OPV2 cessation, the GPEI and countries implemented activities to withdraw all the remaining trivalent OPV, which contains all three poliovirus serotypes (i.e., 1, 2, and 3), from the supply chain and replace it with bivalent OPV (containing only serotypes 1 and 3). However, as of early 2020, monovalent OPV2 use for outbreak response continues in many countries. In addition, outbreaks observed in 2019 demonstrated evidence of different types of risks than previously modeled. We briefly review the 2019 epidemiological experience with serotype 2 live poliovirus outbreaks and propose a new risk for unexpected OPV introduction for inclusion in global modeling of OPV cessation. Using an updated model of global poliovirus transmission and OPV evolution with and without consideration of this new risk, we explore the implications of the current global situation with respect to the likely need to restart preventive use of OPV2 in OPV‐using countries. Simulation results without this new risk suggest OPV2 restart will likely need to occur (81% of 100 iterations) to manage the polio endgame based on the GPEI performance to date with existing vaccine tools, and with the new risk of unexpected OPV introduction the expected OPV2 restart probability increases to 89%. Contingency planning requires new OPV2 bulk production, including genetically stabilized OPV2 strains."
6,10.1002/adma.201703980,2017,Highly Efficient Porphyrin‐Based OPV/Perovskite Hybrid Solar Cells with Extended Photoresponse and High Fill Factor,"Employing a layer of bulk‐heterojunction (BHJ) organic semiconductors on top of perovskite to further extend its photoresponse is considered as a simple and promising way to enhance the efficiency of perovskite‐based solar cells, instead of using tandem devices or near infrared (NIR)‐absorbing Sn‐containing perovskites. However, the progress made from this approach is quite limited because very few such hybrid solar cells can simultaneously show high short‐circuit current (JSC) and fill factor (FF). To find an appropriate NIR‐absorbing BHJ is essential for highly efficient, organic, photovoltaics (OPV)/perovskite hybrid solar cells. The materials involved in the BHJ layer not only need to have broad photoresponse to increase JSC, but also possess suitable energy levels and high mobility to afford high VOC and FF. In this work, a new porphyrin is synthesized and blended with [6,6]‐phenyl‐C61‐butyric acid methyl ester (PCBM) to function as an efficient BHJ for OPV/perovskite hybrid solar cells. The extended photoresponse, well‐matched energy levels, and high hole mobility from optimized BHJ morphology afford a very high power conversion efficiency (PCE) (19.02%) with high Voc, JSC, and FF achieved simultaneously. This is the highest value reported so far for such hybrid devices, which demonstrates the feasibility of further improving the efficiency of perovskite devices."
7,10.1088/2058-8585/ab6e73,2020,Flexible OPV modules for highly efficient indoor applications,"The comparison of solution processed organic photovoltaics with two roll-to-roll coated electron transport layers (ETL), as well as printed grid or solid back electrodes provides insight into the future of R2R fabricated architectures. The variation in performance of the R2R slot-die coated zinc oxide (ZnO) versus the tin oxide (SnO2), showed a clear dependence on the spectrum of the illumination source. It was found that under indoor light conditions (200–1000 lux LED and fluorescent sources) the SnO2 outperformed the ZnO with highest efficiencies near 13% and 10% respectively. This is in contrast to results obtained under 1 Sun (AM 1.5) in which the cells fabricated with a ZnO ETL had a higher power conversion efficiency than those prepared with SnO2. The results also confirm the significance of the layout of the printed silver back contact; in which cells with the grid structure outperformed those with full coverage by approximately 35% for ZnO and just under 10% for SnO2 (all light conditions). The combination of a R2R coating and S2S printing process to prepare modules with 8 cells in series (PET/ITO/SnO2/PV2001:PCBM/PEDOT:PSS/silver grid) resulted in a PCE of 13.4% under indoor office light conditions."
8,10.1111/risa.13590,2020,Expected Implications of Globally Coordinated Cessation of Serotype 3 Oral Poliovirus Vaccine (OPV) Before Serotype 1 OPV,"Globally coordinated cessation of all three serotypes of oral poliovirus vaccine (OPV) represents a critical part of a successful polio endgame, which the Global Polio Eradication Initiative (GPEI) plans to conduct in phases, with serotype 2 OPV cessation completed in mid 2016. Although in 2016 the GPEI expected to globally coordinate cessation of the remaining OPV serotypes (1 and 3) by 2021, continuing transmission of serotype 1 wild polioviruses to date makes those plans obsolete. With increasing time since the last reported polio case caused by serotype 3 wild poliovirus (in November 2012) leading to high confidence about its successful global eradication, the Global Commission for the Certification of Poliomyelitis Eradication recently certified its eradication. Questions now arise about the optimal timing of serotype 3 OPV (OPV3) cessation. Using an integrated global model that characterizes the risks, costs, and benefits of global polio policy and risk management options, we explored the implications of different options for coordinated cessation of OPV3 prior to COVID‐19. Globally coordinating cessation of OPV3 as soon as possible offers the opportunity to reduce cases of vaccine‐associated paralytic polio globally. In addition, earlier cessation of OPV3 should reduce the risks of creating serotype 3 circulating vaccine‐derived polioviruses after OPV3 cessation, which represents a significant threat to the polio endgame given current GPEI plans to reduce preventive OPV supplemental immunization activities starting in 2019."
9,10.1080/14760584.2019.1635463,2019,Logistical challenges and assumptions for modeling the failure of global cessation of oral poliovirus vaccine (OPV),"ABSTRACT Introduction: The inability to successfully stop all use of oral poliovirus vaccine (OPV) as part of the polio endgame and/or the possibilities of reintroduction of live polioviruses after successful OPV cessation may imply the need to restart OPV production and use, either temporarily or permanently. Areas covered: Complementing prior work that explored the risks of potential OPV restart, we discuss the logistical challenges and implications of restarting OPV in the future, and we develop appropriate assumptions for modeling the possibility of OPV restart. The complexity of phased cessation of the three OPV serotypes implies different potential combinations of OPV use long term. We explore the complexity of polio vaccine choices and key unresolved policy questions that may impact continuing and future use of OPV and/or inactivated poliovirus vaccine (IPV). We then characterize the assumptions required to quantitatively model OPV restart in prospective global-integrated economic policy models for the polio endgame. Expert commentary: Depending on the timing, restarting production of OPV would imply some likely delays associated with ramp-up, re-licensing, and other logistics that would impact the availability and costs of restarting the use of OPV in national immunization programs after globally coordinated cessation of one or more OPV serotypes."
