,DOI,Year,Title,Abstract
0,,2020.0,Degradation Behavior of Scalable Nonfullerene Organic Solar Cells Assessed by Outdoor and Indoor ISOS Stability Protocols,"the scalable NFA OPV exhibit completely reversible degradation when assessed in ISOS - O - 1 outdoor conditions, which is in contrast to the lab - scale devices assessed via the indoor ISOS - L - 2 protocol. Results from transient photovoltage (TPV) indicate the presence of charge trap formation, and a number of potential mechanisms are proposed for the selective occurrence of this in lab - scale devices tested in ISOS - L lab conditions – ultimately concluding that it has its origins in the different device architectures used. The study points at the risk of assessing active layer stability from laboratory scale devices and degradation studies alone"
1,10.1063/5.0025622,2020.0,Outdoor performance of organic photovoltaics at two different locations: A comparison of degradation and the effect of condensation,"Tests on organic photovoltaics (OPV) mini modules, fabricated through a R2R process, in air and without hazardous solvents have been conducted in order to compare their outdoor performance, in Belo Horizonte, Brazil, and Bangor, North Wales, and assess the impact of the latitude and climate of the installation on the power generation and modules' lifetime. The test showed different profiles of degradation for each region and formulation, with a surprisingly faster degradation in Bangor. One of the possible sources of the increased degradation is the greater levels of condensation observed in Bangor. To verify the impact of condensation on the module stability, indoor tests have been conducted to relate the dew point depression to module degradation times. The results show that condensation is a significant stress factor in OPV and should be considered more prominently in reliability studies."
2,,2017.0,Outdoor stability studies in Organic Photovoltaics,"This thesis focuses on the outdoor monitoring of organic photovoltaics (OPVs) with the aim of improving the stability and performance of OPVs under real world conditions. This is important as in order for OPVs to become commercially viable they must make the transition from small laboratory cells to larger modules. 
Over the course of several outdoor monitoring campaigns various types of OPV modules have been benchmarked against a number of other technologies: polycrystalline silicon, cadmium indium diselenide and dye sensitised solar cells. The principal performance parameters are examined in detail, analysing their dependence on irradiance and temperature. OPVs were shown to have positive temperature coefficients for efficiency, ISC and fill factor and a negative temperature coefficient for VOC. One of the main causes of degradation is ingress of water and oxygen into the module and subsequent photo-oxidation of the active layer and it was shown that UV filtering would improve stability. 
To improve the yield of OPVs outdoors, modules were laminated to different corrugated substrates and subjected to indoor characterisation and outdoor monitoring. The corrugated modules were shown to have three advantages: the effective area of the module, allowing for curvature, is reduced which leads to an improvement in the power conversion efficiency per unit area; substantial enhancement at high angles of incidence led to increased output during early morning and evening; under diffuse irradiance performance improved by up to 25%. Outdoor measurements on larger module strips showed that corrugated strips outperformed flat strips by 7.5% with a 14.8% enhancement under diffuse conditions. 
An alternative technique to improve the yield of OPVs is the use of luminescent down-shifting coatings which were investigated as alternatives to UV filters and have the added benefit of improving stability. The use of both discrete and multiple-dye blends dispersed in poly(methyl methacrylate) led to improvements in performance of up to 8% and a six-fold extension of operational lifetime. Dyes were systematically selected by examining their absorption and photoluminescence spectra and matching these to the spectral performance of P3HT:PC61BM OPV devices. In doing so optimised multiple-dye blends were made possible."
3,,2018.0,Optimization of the interfaces of encapsulated OPV devices,"In order to limit the flexible organic photovoltaic devices degradation induced by moisture andoxygen, the solar cells are encapsulated between two gas-barrier films. Despite the importanceof the encapsulation processes and their potential influence on the initial performances as well asduring aging of the devices, they are scarcely described in the literature. Furthermore, severalfield aging studies showed that mechanical degradation could limit the devices lifetime beforetheir photo-chemical stability became an issue. Thus, adhesion between the different layerscomposing the devices is a critical factor in order to develop flexible OPV devices reliable aftertheir manufacturing and during their use.In this work, two encapsulation protocols were studied: the roll-to-roll lamination of apressure sensitive adhesive and the vacuum lamination of a hotmelt thermoplastic. In order toquantify the adhesion strength of every interface comprised in the samples, the 180° peelingtest mechanical characterization was adapted for and then applied to the flexible devices. Inaddition, non-destructive imaging characterization techniques were developed: the laser-beaminduced-current mapping and the luminescence emission imaging under optical and electricalexcitation. Thank to these techniques, the hypothesis of a mechanical degradation occurringduring the roll-to-roll lamination process was made. Answers allowing for the improvement ofthe interfaces identified as weak were searched for and evaluated with respect to the photovoltaicperformances of the reference devices. The imaging techniques previously developed were alsoapplied along the accelerated aging of encapsulated cells. A mechanism was proposed, whichallows one to explain the localization of the degradation but also the failure type, either opticalor electrical, occurring during each aging step."
4,10.1002/cjce.25487,2024.0,Effect of pre‐aging intermediate layers on the performance of multi‐layer organic photovoltaic devices,"Understanding the degradation behaviour of organic photovoltaic (OPV) devices is an essential part to improve their stability prior to massive production. Accelerated aging can help to assess their stability and study the underlying degradation mechanisms of OPVs. Most studies focus on individual layers or a full device, and little is known about the role a pre‐aged layer stack plays in the performance of a device. Herein, we report the investigation of the effects of pre‐aging of multiple layers on the performance of OPVs. Instead of aging a single layer or an entire stack (sequential layers: ITO/PEDOT:PSS/MoOx/F‐BsubPc/C60/BCP/Ag), our process involved aging the intermediate layer stack for 24 h after depositing a specific layer before continuing with the subsequent depositions to fully fabricate/manufacture OPVs. Aging was conducted under four controlled conditions considering parameters including moisture, gas type, and temperature in the absence of light according to the International Summit on Organic Photovoltaic Stability (ISOS) protocols. Short of PEDOT:PSS we found that multiple layers, being subjected to the parameters, resulted in a decline in OPV device performance after being fully manufactured. Device performance is evaluated based on short‐circuit current density (Jsc), power conversion efficiency (PCE), and open‐circuit voltage (Voc). Our analysis provides insight into the degradation mechanisms of layered/planar OPV structures and offers strategic guidance for optimizing fabrication processes, particularly during the layer deposition transitions. We recommend that during OPV vacuum deposited fabrication, intermediate layers should be protected from moisture, O2, high temperature, and even inert gases, preferably in a low‐vacuum environment."
5,10.1002/advs.201800434,2018.0,Current Status of Outdoor Lifetime Testing of Organic Photovoltaics,"Performance degradation is one of the key obstacles limiting the commercial application of organic photovoltaic (OPV) devices. The assessment of OPV stability and lifetime are usually based on simulated degradation experiments conducted under indoor conditions, whereas photovoltaic devices experience different environmental conditions under outdoor operation. Besides the intrinsic degradation of OPV devices due to the evolution of optoelectronic and morphological structure during long‐term operation, outdoor environmental changes can impose extra stresses and accelerate the degradation of OPV modules. Although outdoor studies on long‐term OPV stability are restricted by the long data collection times, they provide direct information on OPV stability under mixed degradation stresses and are therefore invaluable from the point of view of both research and practical application. Here, an overview of the current status of outdoor lifetime studies of OPVs is provided. After a summary of device lifetime extrapolated from indoor studies, outdoor lifetime testing platforms are introduced and the operational lifetime of various OPV devices are reviewed. The influence of climate and weather parameters on device performance and burn‐in phenomena observed during the degradation of OPVs is then discussed. Finally, an outlook and directions for future research in this field are suggested."
6,10.1109/PVSC.2012.6318270,2012.0,Accelerated stability testing of organic photovoltaics using concentrated sunlight,We suggest to use concentrated sunlight for accelerated studies of light-induced mechanisms in the degradation of organic photovoltaics (OPV) based on the polymer (P3HT)/fullerene (PCBM) bulk heterojunctions. Two particular cases of the degradation are reported.
7,10.1021/acsami.7b19442,2018.0,Influence of Environmentally Affected Hole-Transport Layers on Spatial Homogeneity and Charge-Transport Dynamics of Organic Solar Cells.,"After organic photovoltaic (OPV) cells achieved efficiency of more than 10%, the control of stability and degradation mechanisms of solar cells became a prominent task. The increase of device efficiency due to incorporation of a hole-transport layer (HTL) in bulk-heterojunction solar cells has been extensively reported. However, the most widely used HTL material, poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS), is frequently suspected to be the dominating source for device instability under environmental conditions. Thereby, effects like photooxidation and electrode corrosion are often reported to shorten device lifetime. However, often in environmental device studies, the source of degradation, whether being from the HTL, the active layer, or the metal cathode is rather difficult to distinguish because the external diffusion of oxygen and water affects all components. In this study, different HTLs, namely, those prepared from traditional PEDOT:PSS and also two types of molybdenum trioxide (MoO3) are exposed to different environments, such as oxygen, light, or humidity, prior to device finalization under inert conditions. This allows investigating any effects within the HTL and from reactions at its interface to the indium tin oxide electrode or the active layer. The surface and bulk chemistry of the exposed HTL has been monitored and discussed in context to the observed device physics, dynamic charge transport, and spatial performance homogeneity of the corresponding OPV device. The results show that merely humidity exposure of the HTL leads to decreased device performance for PEDOT:PSS, but also for one type of the tested MoO3. The losses are related to the amount of absorbed water in the HTL, inducing loss of active area in terms of interfacial contact. The device with PEDOT:PSS HTL after humid air exposure showed seriously decreased photocurrent by microdelamination of swelling/shrinkage of the hygroscopic layer. The colloidal MoO3 with water-based precursor solution presents slight decay of solar cell performance, also here caused by swelling/shrinking reaction, but by a combination of in-plane particle contact and resistance scaling with particle expansion. However, the device with quasi-continuous and alcohol-based MoO3 showed unharmed stable electrical performance."
8,10.1063/1.3298742,2010.0,Effects of concentrated sunlight on organic photovoltaics,"We report the effects of concentrated sunlight on key photovoltaic parameters and stability of organic photovoltaics (OPV). Sunlight collected and concentrated outdoors was focused into an optical fiber and delivered onto a 1 cm2 bulk-heterojunction cell. Sunlight concentration C was varied gradually from 0.2 to 27 suns. Power conversion efficiency exhibited slow increase with C that was followed by saturation around 2% at C=0.5–2.5 suns and subsequent strong reduction. Possible OPV applications in stationary solar concentrators (C≤2 suns) are discussed. Finally, experiments at C=55–58 suns demonstrated potential of our approach for accelerated studies of light induced mechanisms in the OPV degradation."
9,10.59627/cbens.2018.371,2018.0,LIFETIME STUDY OF ORGANIC PHOTOVOLTAIC MATERIALS THROUGH OUTDOOR TESTS,"Organic photovoltaics (OPV) have undergone a significant development in recent years, with companies reaching efficiencies above 13%. Its unique features of transparency, light weight and flexibility allow the OPV application where conventional photovoltaics reach their limits, such as building integrated photovoltaics (BIPV). Many projects are emerging for this type of application, such as facade integration, and it is important to guarantee that the lifetime of the OPV devices is similar to what it is being integrated to. As a relatively recent technology, there are not many studies focusing on the stability and lifetime of OPV and even though standard tests have been defined for means of comparison of technology development, there are no appropriate qualification tests to assure the durability of the modules. As accelerated tests are not yet correlated to real operational conditions either, outdoor tests are a must to study degradation behaviors and pathways to improve the lifetime. In this paper, outdoor tests have been conducted for a period over a year to compare different photoactive materials and assess their stability under operational conditions. By the use of an in-house built software, the current-voltage measurements performed along the day hours were used to build degradation curves and model the energy generated over time. Differences in degradation rate were observed for the three polymers tested, as well as a relation between irradiation levels and the performance and stability of the devices."
