,DOI,Year,Title,Abstract
0,10.3390/en14196324,2021.0,The Effect of OPV Module Size on Stability and Diurnal Performance: Outdoor Tests and Application of a Computer Model,"The outdoor performance of large area Organic Photovoltaics (OPVs) is investigated in this work. Initially, the diurnal performance of the three modules is determined and found to be similar. Subsequently module degradation is monitored, and it is found that the larger area module displays a significantly greater stability as compared to the smallest area module; in fact the larger module displays a T50% (time to fall to 50% of its original value) of 191 days whilst the smallest module displays a T50% of 57 days. This is attributed to an increased level of water infiltration due to a larger perimeter-to-area ratio. These findings are then used to verify a computer simulation model which allows the model parameters, series and shunt resistances, to be calculated. It is determined that the series resistance is not an obvious obstruction at these module sizes. The findings of this work provide great promise for the application of OPV technology on a larger scale."
1,,2016.0,Interfacial stability and degradation in organic photovoltaic solar cells,"Organic photovoltaic (OPV) solar cells show great promise but suffer from short operating lifetimes. This study examines the role that the selection of materials for the hole extraction interface in inverted OPV devices plays in determining the lifetime of a device. In the first part of the study, the effects of thermal degradation were examined. It was found that devices containing MoO3 HTLs and silver top electrodes exhibit an open-circuit voltage (VOC)/fill factor (FF)-driven mechanism. Physical characterisation experiments showed that, with heating, the silver electrode undergoes de-wetting. With thin electrodes this can result in the catastrophic failure of the device. A fracture analysis study found that silver-containing devices experience an increase in adhesion of their top layers to the active layer due to interdiffusion between the layers. This interdiffusion may be related to the loss of VOC and FF in Ag/MoO3 devices through diffused species forming charge traps in the active layer. In the second part of the study, the effects of photodegradation in different atmospheres were studied. Some material-dependent effects were observed when the devices were aged in an inert atmosphere, including variations in projected lifetime. The effect of oxygen was to greatly accelerate degradation, and remove any of the material-dependence observed in the inert experiment, while humidity led to a substantial increase in the degradation rate of devices containing PEDOT:PSS (poly(3,4-ethylenedioxythiophene) polystyrene sulfonate). This study underlines the importance of considering device lifetime in device design, and choosing materials to minimise degradation."
2,10.1002/9781119942436,2012.0,Stability and Degradation of Organic and Polymer Solar Cells: Krebs/Stability and Degradation of Organic and Polymer Solar Cells,"Stability and Degradation of Organic and Polymer Solar Cells Organic photovoltaics (OPV) are a new generation of solar cells with the potential to offer very short energy pay back times, mechanical flexibility and significantly lower production costs compared to traditional crystalline photovoltaic systems. A weakness of OPV is their comparative instability during operation and this is a critical area of research towards the successful development and commercialization of these 3rd generation solar cells. Covering both small molecule and polymer solar cells, Stability and Degradation of Organic and Polymer Solar Cells summarizes the state of the art understanding of stability and provides a detailed analysis of the mechanisms by which degradation occurs. Following an introductory chapter which compares different photovoltaic technologies, the book focuses on OPV degradation, discussing the origin and characterization of the instability and describing measures for extending the duration of operation."
3,10.1021/acsami.0c14461,2020.0,Incorporating Indium Selenide Nanosheets into a Polymer/Small Molecule Binary Blend Active Layer Enhances the Long-Term Stability and Performance of Its Organic Photovoltaics.,"In this report, we demonstrated that the incorporation of 15 wt % two-dimensional transition-metal dichalcogenide materials indium selenide (In2Se3) nanosheets into a polymer (PM6)/small molecule (Y6) active layer not only increased its light absorption but also enhanced the long-term stability of the PM6/Y6/In2Se3 ternary blend organic photovoltaic (OPV) devices. The power conversion efficiency (PCE) of the device was improved from 15.7 to 16.5% for the corresponding PM6/Y6 binary blend device. Moreover, the PM6/Y6/In2Se3 device retained 80% of its initial PCE after thermal treatment at 100 °C for 600 h; in comparison, the binary blend device retained only 62% of its initial value. This relative enhancement of 29% resulted from the In2Se3 nanosheets retarding or facilitating molecule packing in different orientations that stabilizes the morphology of the active layer. We adopted a modified kinetics model to account for the intrinsic degradation of the OPV; the degradation-facilitated energy for the degradation kinetics of the PCE for the ternary blend device was 5.3 kJ/mol, half of that (11.3 kJ/mol) of the binary blend device, indicating a slower degradation rate occurring for the case of incorporating In2Se3 nanosheets. Therefore, the incorporation of transition metal dichalcogenide nanosheets having tunable band gaps and large asymmetric shape appears to be a new way to improve the long-term stability of devices and realize the practical use of OPVs."
4,,2015.0,Structural-Functional Characterization of Degradation Mechanisms in Low Bandgap Polymer-Fullerene OPV Devices,"Polymer-fullerene bulk heterojunction (BHJ) organic photovoltaics (OPVs) show enormous promise for low cost renewable energy production. In an effort to increase device efficiencies, recent attention has turned toward the utilization of low bandgap conjugated polymers for photon harvesting. However, the stability of devices based on low bandgap materials remains poorly understood and represents one of the primary roadblocks for widespread OPV commercialization. Developing a systematic approach for studying degradation mechanisms in low bandgap OPVs is critical for improving device lifetimes. In this study, an experimental procedure for identifying the specific location and trigger of different degradation mechanisms is outlined. Emphasis is placed on in situ structural-functional characterization of different device materials under a variety of environmental conditions with a focus on machine learning techniques for flexible data analysis."
5,,2020.0,Degradation Behavior of Scalable Nonfullerene Organic Solar Cells Assessed by Outdoor and Indoor ISOS Stability Protocols,"the scalable NFA OPV exhibit completely reversible degradation when assessed in ISOS - O - 1 outdoor conditions, which is in contrast to the lab - scale devices assessed via the indoor ISOS - L - 2 protocol. Results from transient photovoltage (TPV) indicate the presence of charge trap formation, and a number of potential mechanisms are proposed for the selective occurrence of this in lab - scale devices tested in ISOS - L lab conditions – ultimately concluding that it has its origins in the different device architectures used. The study points at the risk of assessing active layer stability from laboratory scale devices and degradation studies alone"
6,10.1002/adfm.202308618,2023.0,Influences of Metal Electrodes on Stability of Non‐Fullerene Acceptor‐Based Organic Photovoltaics,"Understanding chemical degradation at the interface between different layers in an organic photovoltaic device (OPV) is crucial to improving the long‐term stability of OPVs. Herein, molecular‐level insights are provided into the impact of different metal top electrodes on the interfacial morphology and stability of photoactive layers in PM6:Y6 bulk‐heterojunction (BHJ) OPVs. OPVs with an aluminum (Al) top electrode exhibit inferior stability compared to silver (Ag) electrode devices upon thermal annealing, whereby thermal stress induces the diffusion of both Al and Ag atoms to the PM6:Y6 BHJ layer. The diffused Al atoms cause surface recombination at the interface between the photoactive layer and an interlayer. Specifically, X‐ray photoelectron spectroscopy suggests the different local chemical environments of PM6 and Y6 moieties in PM6:Y6/Al‐contact devices. These results are corroborated by solid‐state nuclear magnetic resonance and electron paramagnetic resonance spectroscopy measurements, indicating the formation of ionic and organo‐metallic‐like species at the sub‐layers of the PM6:Y6 BHJ morphology, which are estimated to be less than 5 wt% of the PM6:Y6/Al blend. By comparison, the Ag atoms do not adversely affect PM6:Y6 BHJ morphology and the associated device physics. The investigation of reactive electrode‐BHJ interfaces by multiscale characterization techniques and device physics is expected to provide guidance to future interfacial engineering strategies to develop stable and efficient OPVs."
7,10.1021/acsami.3c02071,2023.0,Improving the Stability of Non-fullerene-Based Organic Photovoltaics through Sequential Deposition and Utilization of a Quasi-orthogonal Solvent.,"The development of organic photovoltaic (OPV) devices based on non-fullerene acceptors (NFAs) has led to a rapid improvement in their efficiency. Despite these improvements, significant performance degradation in the early stages of operation, known as burn-in, remains a challenge for NFA-based OPVs. To address this challenge, this study demonstrates a stable NFA-based OPV fabricated using sequential deposition (SqD) and a quasi-orthogonal solvent. The quasi-orthogonal solvent, which is prepared by incorporating 1-chloronaphthalene (1-CN) into dichloromethane (DCM), reduces the vapor pressure of the solvent and allows for the efficient dissolution and penetration of the Y6 (one of efficient NFAs) into a PM6 polymer-donor layer without damaging the latter. The resulting bulk heterojunction (BHJ) is characterized by a higher degree of crystallinity in the PM6 domains than that prepared using a conventional single-step deposition (SD) process. The OPV fabricated using the SqD process exhibits a PCE of 14.1% and demonstrates superior thermal stability to the SD-processed OPV. This study conclusively reveals that the formation of a thermally stable interface between the photoactive layer and the electron-transport layer (ETL) is the primary factor contributing to the high thermal stability observed in the SqD-processed OPV."
8,,2019.0,Interfaces in organic photovoltaic devices: understanding the degradation mechanisms and improvement of the stability,"Organic photovoltaic (OPV) devices now regularly reach 10% power conversion efficiency, especially now with the development of non-fullerene acceptors. However, those performances are not always very stable and, in order to improve the lifetime of these devices, a deep understanding of the different degradation mechanisms is needed. Degradation pathways are complex and diverse: they can be induced by numerous intrinsic and extrinsic factors which can affect different regions of the device (active materials, interfaces, morphology, etc…). 
In the first part of this presentation, I will specifically focus on the degradation occurring at different interfaces in the multilayer which forms the OPV device. We identified several degradation mechanisms occurring at the bottom interface (ETL/Active layer) as well as at the top interfaces (Active layer/HTL/Electrode). 
In a second part, we studied the potentiality of graftable molecules such as self-assembled monolayers (SAM) to improve the stability of OPV devices. A solution to replace PEDOT:PSS in direct architecture was developed involving a thin layer of P3HT grafted on the ITO. 
These different studies highlight the role of the architecture and, more specifically, of the ETL, HTL and electrode in the stability of OPV devices. They also showed that functionalization of the metal oxides can be a solution to improve the stability of the devices."
9,10.1039/C8TA04098B,2018.0,Influence of perfluorinated ionomer in PEDOT:PSS on the rectification and degradation of organic photovoltaic cells,"Poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS) is widely used to build optoelectronic devices. However, as a hygroscopic water-based acidic material, it brings major concerns for stability and degradation, resulting in an intense effort to replace it in organic photovoltaic (OPV) devices. In this work, we focus on the perfluorinated ionomer (PFI) polymeric additive to PEDOT:PSS. We demonstrate that it can reduce the relative amplitude of OPV device burn-in, and find two distinct regimes of influence. At low concentrations there is a subtle effect on wetting and work function, for instance, with a detrimental impact on the device characteristics, and above a threshold it changes the electronic and device properties. The abrupt threshold in the conducting polymer occurs for PFI concentrations greater than or equal to the PSS concentration and was revealed by monitoring variations in transmission, topography, work-function, wettability and OPV device characteristics. Below this PFI concentration threshold, the power conversion efficiency (PCE) of OPVs based on poly(3-hexylthiophene-2,5-diyl):[6,6]-phenyl-C61-butyric acid methyl ester (P3HT:PCBM) are impaired largely by low fill-factors due to poor charge extraction. Above the PFI concentration threshold, we recover the PCE before it is improved beyond the pristine PEDOT:PSS layer based OPV devices. Supplementary to the performance enhancement, PFI improves OPV device stability and lifetime. Our degradation study leads to the conclusion that PFI prevents water from diffusing to and from the hygroscopic PEDOT:PSS layer, which slows down the deterioration of the PEDOT:PSS layer and the aluminum electrode. These findings reveal mechanisms and opportunities that should be taken into consideration when developing components to inhibit OPV degradation."
