,Unnamed: 0,doi,publication,publisher,title,year,Abstract
0,0,10.1186/s12859-021-04045-3,,,"In silico comparative study of SARS-CoV-2 proteins and antigenic proteins in BCG, OPV, MMR and other vaccines: evidence of a possible putative protective effect",2021,"Background Coronavirus Disease 2019 (COVID-19) is a viral pandemic disease that may induce severe pneumonia in humans. In this paper, we investigated the putative implication of 12 vaccines, including BCG, OPV and MMR in the protection against COVID-19. Sequences of the main antigenic proteins in the investigated vaccines and SARS-CoV-2 proteins were compared to identify similar patterns. The immunogenic effect of identified segments was, then, assessed using a combination of structural and antigenicity prediction tools. Results A total of 14 highly similar segments were identified in the investigated vaccines. Structural and antigenicity prediction analysis showed that, among the identified patterns, three segments in Hepatitis B, Tetanus, and Measles proteins presented antigenic properties that can induce putative protective effect against COVID-19. Conclusions Our results suggest a possible protective effect of HBV, Tetanus and Measles vaccines against COVID-19, which may explain the variation of the disease severity among regions."
1,1,10.1016/j.commatsci.2021.110599,,,Algorithmically extracted morphology descriptions for predicting device performance,2021,"Abstract The device performance of thin film electronics is known to be dependent on morphological properties such as the size, shape, and orientation of aggregates and crystalline domains. So far, descriptions of morphology have been semi-quantitative and loosely linked to device performance. However, by using our recently reported quantitative analysis tool m2py, we create morphology labels and, for the first time, extract quantitative morphology information from scanning probe microscopy measurements. In this work, we use the labels and extracted morphology measurements to validate a novel approach of generating quantitative structure–property relationships through the use of machine learning and regression models; we present this generalizable approach by demonstrating it on organic photovoltaics. In our approach, the open-source toolkit, m2py, is used to label and describe a set of organic photovoltaic devices that have received different thermal annealing treatments, thereby altering their morphologies and, subsequently, their performance. Different regressors and types of morphology descriptions are used to examine the efficacy of quantitative morphology descriptors in predicting device performance. Despite the fact that scanning probe measurements only image the thin film surface, we find that the information-rich nature of morphology data enables accurate device performance predictions, even with datasets that would traditionally be considered too small to generate high-quality predictions. The implications of introducing quantitative morphology information for predictive analysis of other devices and materials is also discussed; given the general and material-agnostic nature of m2py, it is anticipated that the predictive capability of these labels will be ubiquitous to all thin film applications."
2,2,10.1016/j.jlumin.2021.118192,,,Cyano-substituted oligo (p-phenylene vinylene)-Based supramolecular nanostructure capable of detecting a specific enzyme,2021,"Abstract We report on the cyano-OPV (1) possessing a trimethyl-locked quinone group exhibited monomer and aggregate emissions with distinct colors determined by the ratio of tetrahydrofuran/water (THF/H2O), thereby suggesting a strong dependence on the polarity of the solvent. In contrast, cyano-OPV (2) possessing an amine group exhibited a yellow emission in the THF/H2O mixture, regardless of the ratio of solvents used, which is indicative of the formation of a supramolecular aggregate by π-π stacking and intermolecular hydrogen-bonds. This further supports the AFM and DLS observations in which 1 and 2 are shown to be comprised of spherical nanoparticles with mean diameters of ~300 nm. The supramolecular aggregate 2 is generated by a cooperative pathway involving a nucleation-elongation mechanism. More interestingly, 1 was converted to 2 in the presence of NQO1 and NADPH, in a mixture of THF/H2O (20:80 v/v) at 37 °C, which lead to the formation of the supramolecular aggregate with its characteristic yellow emission."
3,3,10.1016/j.ijleo.2021.166937,,,Effects of the photoactive layer properties and current transmission mechanism on optical and electrical characteristics of organic photovoltaic,2021,"Abstract The P3HT:PCBM is an important organic material as an active layer for bulk heterojunction (BHJ) organic photovoltaics (OPVs). However, in terms of photophysical properties, blend ratios of both materials and device design is an important parameter for OPVs devices. In this study, the P3HT:PCBM photoactive layer, blended in different proportions by mass (1:1, 1:0.8, 1:0.6) was coated on the PEDOT:PSS surface using the spin coater method for different devices. Finally, Al have been evaporated on the photoactive layer and the device structure completed. In other examples, 2 nm lithium fluoride (LiF) as buffer layer evaporated on the active layer for each blending ratio before metal. Optical absorption, AFM, XRD, Raman and XPS measurements were taken for each active layer and it was observed that the surface morphology and absorption characteristic of the active layer changed according to the mixing ratios. This change in active layer properties directly affected the device parameters. Electrical characterization of the six different devices performed with current density-voltage (J–V) measurement and by used a solar simulator under 100 mW/cm2 irradiation intensity. Depending on the increase in short circuit current density (Jsc) and open current voltage (Voc) values in the devices, the power conversion efficiency (PCE) of the OPVs obtained varied between 0.86% and 2.74%. This change can be attributed to the fact that the P3HT:PCBM photoactive layer forms a smoother surface morphology depending on the PCBM ratio and the series resistance decreases. Another reason for this change in PCE can be explained by the effective electron injection of the LiF layer, LiF/Al layer with lower work function and less carrier deposition at its metal-active layer interfaces. It result has been obtained that the active layer with a ratio of 1:0.8 has a more homogeneous surface morphology and the series resistance decreases, the presence of the LiF layer in the device structures increases the Jsc and Voc, accordingly the PCE increases to 2.74%. These results showed that BHJ OPV with high PCE can be obtained with the ideal mixing ratio and appropriate device design."
4,4,10.1016/j.jvacx.2021.100102,,,Evaluation and validation of next-generation sequencing to support lot release for a novel type 2 oral poliovirus vaccine,2021,Highlights • Genetic variants were evaluated to assess which were important to ensure nOPV2 quality.• The cDNA preparation and NGS method was validated through evaluating mixtures of Sabin-2 and nOPV2.• Pre-specified validation criteria for linearity and precision were met at all positions.• The method was assessed to be fit-for-purpose for vaccine lot release.• Understanding the co-location of genetic variants was important to interpret NGS results.
5,5,10.1007/s11664-021-09020-5,,,Optimization of Nanoparticle Organic Photovoltaic Device Performance using SCAPS Software,2021,"The fabrication of nanoparticle (NP) organic photovoltaic (OPV) solar cells has attracted great interest due to the possibility of controlling the morphology of the active layer and eliminating harmful solvents. However, NP OPV devices exhibit low efficiency compared with bulk heterojunction devices. The solar cell capacitance simulator (SCAPS) simulation package using a framework based on a one-dimensional drift–diffusion model is applied in the current work to improve the efficiency of NP OPV devices with a poly(3-hexylthiophene) (P3HT):phenyl C61 butyric acid methyl ester (PCBM) active layer. The optimization results confirm that the best thickness for the active layer is 100 nm to 120 nm and that the device reaches its highest performance in this thickness range but low efficiency for thicknesses above 120 nm. Changing the electron mobility (in the range of 1 × 10−3 cm2/V-s < µe < 1 × 10−4 cm2/V-s) is found to have no impact on the device efficiency, whereas the device performance is improved by 27% when the hole mobility is varied in this range (1 × 10−3 cm2/V-s < µh < 1 × 10−4 cm2/V-s). Additionally, the donor and acceptor density (ND and NA) are optimized, revealing that the best values of 1 × 1015 cm−3 and 1 × 1018 cm3, respectively, lead to an improvement in the device efficiency by about 60%. The current findings indicate that the performance of NP OPV devices can indeed be enhanced by optimizing the morphology of the active layer."
7,7,10.1002/anie.202102622,,,Impact of Electrostatic Interaction on Bulk Morphology in Efficient Donor–Acceptor Photovoltaic Blends,2021,"Bulk heterojunctions comprising mixed donor (D) and acceptor (A) materials have proven to be the most efficient device structures for organic photovoltaic (OPV) cells. The bulk morphology of such cells plays a critical role in charge generation, recombination, and transport, thereby determining the device performance. Although numerous studies have discussed the morphology-performance relationship of these cells, the method of designing OPV materials with the desired morphology remains unclear. In this work, guided by molecular electrostatic potential distributions, we have established a connection between the chemical structure and bulk morphology. Our findings demonstrate that the molecular orientation at the D-A interface and the domain purity in the blend can be effectively modulated by modifying the functional groups. In addition, enhancing the D-A interaction is beneficial for charge generation. However, the resulting low domain purity and increased charge transfer ratio in its hybridization with the local excitation states lead to severe charge recombination. Our work proposes a molecular design strategy that can finely-tune the bulk morphology to achieve balanced charge generation and recombination, which is crucial for further boosting the efficiency of the OPV cells."
8,8,10.1021/acsami.1c08487,,,Tricyclic or Pentacyclic D Units: Design of D-I -A-Type Copolymers for High V<inf>OC</inf>Organic Photovoltaic Cells,2021,"Although there are several electron-donating (D) units, only the classic benzo[1,2-b:4,5-b']dithiophenes (BDT) unit was utilized to develop D-π-A-type copolymers for high-voltage organic photovoltaic (OPV) cells. Hence, in this work, we chose two tricyclic D units, BDT and benzo[1,2-b:4,5-b']difurans (BDF), together with one pentacyclic ring, dithieno[2,3-d;2',3'-d']benzo[1,2-b;4,5-b']dithiophenes (DTBDT), to comprehensively study the effect of different D units on the optoelectronic properties and photovoltaic performance. By copolymerized with the benzo[1,2,3]triazole (BTA) electron-accepting unit, the final copolymers J52-Cl, F11, and PE52 were combined with a nonfullerene acceptor (NFA) F-BTA3 according to the ""Same-A-Strategy."" As we preconceived, all the three single-junction OPV cells can obtain high open-circuit voltage (VOC) over 1.10 V. Although the tricyclic D unit of BDF exhibits a slightly lower VOC of 1.12 V because of its mildly larger energy loss of 0.698 eV, its higher carrier mobilities and exciton dissociation efficiency strikingly boost the short-circuit current (JSC) and fill factor, which contribute to a comparable PCE of 10.04% with J52-Cl (10.10%). However, the DTBDT-based polymer PE52 shows the worst performance with a PCE of 6.78% and a VOC of 1.14 V, owing to the higher bimolecular recombination and disordered molecular stacking. Our results indicate that tricyclic D units should be a better choice for constructing D-π-A-type polymers for high-voltage photovoltaic materials than the pentacyclic analogues."
9,9,10.3390/vaccines9070688,,,Development of a quantitative one-step rt-pcr method for the detection of sabin 2 virus contamination in a novel oral poliovirus vaccine type 2,2021,"To control circulating vaccine-derived type 2 poliovirus outbreaks, a more genetically stable novel Oral Poliovirus Vaccine type 2 (nOPV2) was developed by targeted modifications of Sabin 2 genome. Since the use of OPV2 made of Sabin 2 strain has been stopped, it is important to exclude the possibility that batches of nOPV2 are contaminated with Sabin 2 virus. Here, we report the development of a simple quantitative one-step reverse-transcription polymerase chain reaction assay for the detection and quantitation of Sabin 2 virus in the presence of overwhelming amounts of nOPV2 strain. The method is specific and linear within 8 log10 range even in the presence of relevant amounts of nOPV2 virus. It is sensitive, with a lower limit of detection of 0.2 CCID50/mL (an equivalent of 198 genome copies per mL), and generates reproducible results. This assay can be used for quality control and lot release of the nOPV2."
10,10,10.1109/JPHOTOV.2021.3074077,,,Investigating the Indoor Performance of Planar Heterojunction Based Organic Photovoltaics,2021,"Recently, the bulk heterojunction (BHJ)-based photoactive layer has been favored over the planar heterojunction (PHJ)-based photoactive layer for organic photovoltaics (OPVs), owing to the evitable thickness limit of the latter induced by the low mobility of charge carriers. However, under dim indoor light conditions, the PV performance becomes immune to the resistive components of the PHJ OPVs, such as a thick photoactive layer, thereby rendering them attractive for operating indoors. In this study, we devise and demonstrate indoor OPVs with a PHJ-based photoactive layer constituting poly(3-hexylthiophene-2,5-diyl) (P3HT) and indene-C60 bisadduct (ICBA). The performance of the PHJ OPVs was optimized by modulating the thickness of the ICBA layer under a 1000 lx light-emitting diode lamp. OPVs with a 65 nm-thick ICBA layer exhibited excellent indoor performance with a power conversion efficiency of 15.3 ± 0.3%, comparable to that of the reference BHJ OPVs (15.0 ± 0.2%). No noticeable performance degradation was observed by increasing the thickness of the PHJ-based photoactive layer; instead, a thick photoactive layer only enhanced the light absorption, resulting in excellent indoor performance with a higher photocurrent."
