,DOI,Year,Title,Abstract
0,10.1039/d3ra05647c,2023.0,A polymer donor based on difluoro-quinoxaline with a naphthalimide substituent unit exhibits a low-lying HOMO level for efficient non-fullerene polymer solar cells,"The design and synthesis of polymer donors with a low-lying highest occupied molecular orbital (HOMO) level are crucial for increasing open-circuit voltages (VOC) and achieving high-performance non-fullerene polymer solar cells. Here, we developed two copolymers using non-fluorinated or fluorinated thienyl-conjugated benzodithiophenes as electron donor units, and difluoro-quinoxaline with a naphthalimide substituent (DNB) as the electron acceptor unit. These copolymers, namely PDNB and PDNB-2F, exhibited deep HOMO levels owing to the strong electron-withdrawing ability of the naphthalimide substituent. Density-functional theory calculations demonstrated that the skeletons of the two copolymers featured good coplanarity. Owing to the fluorination, PDNB-2F displayed an increased absorption coefficient and deeper HOMO level than PDNB. Moreover, the blended film based on PDNB-2F:Y6 demonstrated enhanced carrier mobility, decreased bimolecular recombination as well as favorable phase-separation regions. Consequently, the PDNB-2F:Y6-based device yielded a superior power conversion efficiency (PCE) of 12.18%, whereas the device based on PDNB:Y6 showed a comparatively lower PCE of 8.83%. These results indicate that difluoro-quinoxaline with a naphthalimide substituent is a prospective electron-deficient building block to develop donor polymers with low-lying HOMO levels to achieve efficient non-fullerene polymer solar cells."
1,10.1080/15421406.2019.1648033,2019.0,Synthesis of a new wide-bandgap conjugated copolymer with 3-trifluoromethylthiophene monomer and Its application to non-fullerene polymer solar cells,"Abstract In this study, a novel wide-bandgap conjugate donor-acceptor type copolymer, PBDT-TFMTh, containing benzodithiophene (BDT) as a donor unit and trifluoromethyl (TFM)-substituted thiophene (Th) as an acceptor unit was designed and synthesized. The physical, optical, and electrochemical properties of PBDT-TFMTh were studied in detail and it was found to have lower-lying highest occupied and lowest unoccupied molecular orbitals. The polymer solar cell with an active layer consisting of PBDT-TFMTh and acceptor IDT(TCV)2 showed a relatively high power conversion efficiency of 2.25% after thermal annealing at 120 °C."
2,10.1039/C7TA01143A,2017.0,"Design, synthesis, and structural characterization of the first dithienocyclopentacarbazole-based n-type organic semiconductor and its application in non-fullerene polymer solar cells","Ladder-type dithienocyclopentacarbazole (DTCC) cores, which possess highly extended π-conjugated backbones and versatile modular structures for derivatization, were widely used to develop high-performance p-type polymeric semiconductors. However, an n-type DTCC-based organic semiconductor has not been reported to date. In this study, the first DTCC-based n-type organic semiconductor (DTCC–IC) with a well-defined A–D–A backbone was designed, synthesized, and characterized, in which a DTCC derivative substituted by four p-octyloxyphenyl groups was used as the electron-donating core and two strongly electron-withdrawing 3-(dicyanomethylene)indan-1-one moieties were used as the terminal acceptors. It was found that DTCC–IC has strong light-capturing ability in the range of 500–720 nm and exhibits an impressively high molar absorption coefficient of 2.24 × 105 M−1 cm−1 at 669 nm owing to effective intramolecular charge transfer and a strong D–A effect. Cyclic voltammetry measurements indicated that the HOMO and LUMO energy levels of DTCC–IC are −5.50 and −3.87 eV, respectively. More importantly, a high electron mobility of 2.17 × 10−3 cm2 V−1 s−1 was determined by the space-charge-limited current method; this electron mobility can be comparable to that of fullerene derivative acceptors (μe ∼ 10−3 cm2 V−1 s−1). To investigate its application potential in non-fullerene solar cells, we fabricated organic solar cells (OSCs) by blending a DTCC–IC acceptor with a PTB7-Th donor under various conditions. The results suggest that the optimized device exhibits a maximum power conversion efficiency (PCE) of up to 6% and a rational high VOC of 0.95 V. These findings demonstrate that the ladder-type DTCC core is a promising building block for the development of high-mobility n-type organic semiconductors for OSCs."
3,10.1002/chem.202301337,2023.0,"Silicon‐ and Germanium‐Functionalized Perylene Diimides: Synthesis, Optoelectronic Properties, and Their Application as Non‐fullerene Acceptors in Organic Solar Cells","Abstract Organic solar cells have been continuously studied and developed through the last decades. A major step in their development was the introduction of fused‐ring non‐fullerene electron acceptors. Yet, beside their high efficiency, they suffer from complex synthesis and stability issues. Perylene‐based non‐fullerene acceptors, in contrast, can be prepared in only a few steps and display good photochemical and thermal stability. Herein, we introduce four monomeric perylene diimide acceptors obtained in a three‐step synthesis. In these molecules, the semimetals silicon and germanium were added in the bay position, on one or both sides of the molecules, resulting in asymmetric and symmetric compounds with a red‐shifted absorption compared to unsubstituted perylene diimide. Introducing two germanium atoms improved the crystallinity and charge carrier mobility in the blend with the conjugated polymer PM6. In addition, charge carrier separation is significantly influenced by the high crystallinity of this blend, as shown by transient absorption spectroscopy. As a result, the solar cells reached a power conversion efficiency of 5.38 %, which is one of the highest efficiencies of monomeric perylene diimide‐based solar cells recorded to date."
4,10.1002/chem.202300653,2023.0,Anthradithiophene (ADT)-Based Polymerized Non-Fullerene Acceptors for All-Polymer Solar Cells.,"Realizing efficient all-polymer solar cell (APSC) acceptors typically involves increased building block synthetic complexity, hence potentially unscalable syntheses and/or prohibitive costs. Here we report the synthesis, characterization, and implementation in APSCs of three new polymer acceptors P1-P3 using a scalable donor fragment, bis(2-octyldodecyl)anthra[1,2-b:5,6-b']dithiophene-4,10-dicarboxylate (ADT) co-polymerized with the high-efficiency acceptor units, NDI, Y6, and IDIC. All three copolymers have comparable photophysics to known polymers, however APSCs fabricated by blending P1, P2 and P3 with donor polymers PM5 and PM6 exhibit modest power conversion efficiencies (PCEs), with the champion P2-based APSC achieving PCE = 5.64%. Detailed morphological and microstructural analysis by AFM and GIWAXS reveal a non-optimal APSC active layer morphology which suppresses charge transport. Despite the modest efficiencies, these APSCs demonstrate the feasibility of using ADT as a scalable and inexpensive electron rich/donor building block for APSCs."
5,10.1039/d0tc00435a,2020.0,Design and synthesis of an amino-functionalized non-fullerene acceptor as a cathode interfacial layer for polymer solar cells,"A novel n-type organic small-molecule semiconductor, denoted N-IDTBR, was designed and synthesized by introducing an amine group into the extensively used non-fullerene acceptor O-IDTBR. This new material can be readily dissolved in alcohol, which allowed it to be spin-cast on top of a photoactive layer by processing with an orthogonal solvent for the construction of multilayer polymer solar cells. A poly(3-hexylthiophene):O-IDTBR blend was selected as a model system, which contains N-IDTBR as the cathode interlayer. We adopted non-halogenated anisole/2-methylanisole as the processing solvent to fabricate the active layer and achieve an impressive power conversion efficiency of 6.1%. Of particular interest is the fact that the N-IDTBR functioned not only as a single cathode interfacial layer to facilitate charge collection, but it also presented slight contribution to the light-harvesting capability of the device, thus leading to enhanced current density of the resulting devices. More importantly, the PCEs of the devices remained at 5.85 ± 0.25% as the thickness of the N-IDTBR layer varied from 5 to 30 nm, which demonstrated their great potential for future practical applications."
6,10.1021/jacs.6b01744,2016.0,Non-Fullerene Polymer Solar Cells Based on Alkylthio and Fluorine Substituted 2D-Conjugated Polymers Reach 9.5% Efficiency.,"Non-fullerene polymer solar cells (PSCs) with solution-processable n-type organic semiconductor (n-OS) as acceptor have seen rapid progress recently owing to the synthesis of new low bandgap n-OS, such as ITIC. To further increase power conversion efficiency (PCE) of the devices, it is of a great challenge to develop suitable polymer donor material that matches well with the low bandgap n-OS acceptors thus providing complementary absorption and nanoscaled blend morphology, as well as suppressed recombination and minimized energy loss. To address this challenge, we synthesized three medium bandgap 2D-conjugated bithienyl-benzodithiophene-alt-fluorobenzotriazole copolymers J52, J60, and J61 for the application as donor in the PSCs with low bandgap n-OS ITIC as acceptor. The three polymers were designed with branched alkyl (J52), branched alkylthio (J60), and linear alkylthio (J61) substituent on the thiophene conjugated side chain of the benzodithiophene (BDT) units for studying effect of the substituents on the photovoltaic performance of the polymers. The alkylthio side chain, red-shifted absorption down-shifted the highest occupied molecular orbital (HOMO) level and improved crystallinity of the 2D conjugated polymers. With linear alkylthio side chain, the tailored polymer J61 exhibits an enhanced JSC of 17.43 mA/cm(2), a high VOC of 0.89 V, and a PCE of 9.53% in the best non-fullerene PSCs with the polymer as donor and ITIC as acceptor. To the best of our knowledge, the PCE of 9.53% is one of the highest values reported in literature to date for the non-fullerene PSCs. The results indicate that J61 is a promising medium bandgap polymer donor in non-fullerene PSCs."
7,10.3390/molecules27196522,2022.0,Fullerene-Perylenediimide (C60-PDI) Based Systems: An Overview and Synthesis of a Versatile Platform for Their Anchor Engineering,"An overview of the different covalent bonding synthetic strategies of two electron acceptors leading to fullerene-perylenediimide (C60-PDI)-based systems, essentially dyads and triads, is presented, as well as their more important applications. To go further in the development of such electron and photoactive assemblies, an original aromatic platform 5-benzyloxy-3-formylbenzoic acid was synthesized to graft both the PDI dye and the fullerene C60. This new C60-PDI dyad exhibits a free anchoring phenolic function that could be used to attach a third electro- and photoactive unit to study cascade electron and/or energy transfer processes or to obtain unprecedented side-chain polymers in which the C60-PDI dyads are attached as pendant moieties onto the main polymer chain. This C60-PDI dyad was fully characterized, and cyclic voltammetry showed the concomitant reduction process onto both C60 and PDI moieties at identical potential. A quasi-quantitative quenching of fluorescence was demonstrated in this C60-PDI dyad, and an intramolecular energy transfer was suggested between these two units. After deprotection of the benzyloxy group, the free hydroxyl functional group of the platform was used as an anchor to reach a new side-chain methyl methacrylate-based polymer in which the PDI-C60 dyad units are located as pendants of the main polymer chain. Such polymer which associates two complementary acceptors could find interesting applications in optoelectronics and in particular in organic solar cells."
8,10.1021/ACS.CHEMMATER.8B01491,2018.0,A Rational Design and Synthesis of Cross-Conjugated Small Molecule Acceptors Approaching High-Performance Fullerene-Free Polymer Solar Cells,"Considering the combination of the advantages of both the acceptor–donor–acceptor and perylene diimide type acceptors, three new cross-conjugated small molecule non-fullerene acceptors were rationally designed and synthesized. Their thermal, optical, electrochemical, and photovoltaic properties were systematically investigated. These acceptors exhibit highly extended absorption spectra ranging from 300 to 700 nm as well as appropriate lowest unoccupied molecular orbital levels compared with those of the general acceptors based on perylene diimide. Non-fullerene polymer solar cells based on the resultant acceptors were fabricated in the ITO/PEDOT:PSS/PTB7-Th:acceptor/PFN-Br/Ag configuration. Benefiting from efficient exciton dissociation, reduced bimolecular recombination, and enhanced and balanced electron mobility, the device-based PDIBDT-IT exhibited a power conversion efficiency (PCE) of 6.06% with a high short-circuit current density (JSC) of 13.60 mA/cm2, a fill factor (FF) of 60.45%, and an open-cir..."
9,10.1021/acsaem.9b01532,2019.0,Backbone Fluorination of Polythiophenes Improves Device Performance of Non-Fullerene Polymer Solar Cells,"Polythiophenes (PTs) are promising donor materials for the industrialization of polymer solar cells (PSCs) due to the merits of easy synthesis, low cost, and large-scale producibility. The rapid progress of non-fullerene acceptors requires the development of new PTs for use in non-fullerene PSCs. In this work, we present a set of PTs with different degrees of backbone fluorination (P6T-F00, P6T-F50, P6T-F75, and P6T-F100) to investigate the effect of fluorination on the photovoltaic properties of PTs in non-fullerene PSCs. Upon increasing fluorine content, the PTs tend to have higher crystallinity, higher absorption coefficients, and enhanced relative dielectric constants. When blended with a non-fullerene acceptor EH-IDTBR, the blend films show increased photoluminescence quenching efficiency, reduced charge recombination loss, and extended charge carrier lifetime along with increasing fluorine content of PTs. These positive factors collectively result in dramatically improved power conversion efficiency..."
