,DOI,Year,Title,Abstract
0,10.1021/acs.chemrev.7b00115,2017.0,Toward Safe Lithium Metal Anode in Rechargeable Batteries: A Review.,"The lithium metal battery is strongly considered to be one of the most promising candidates for high-energy-density energy storage devices in our modern and technology-based society. However, uncontrollable lithium dendrite growth induces poor cycling efficiency and severe safety concerns, dragging lithium metal batteries out of practical applications. This review presents a comprehensive overview of the lithium metal anode and its dendritic lithium growth. First, the working principles and technical challenges of a lithium metal anode are underscored. Specific attention is paid to the mechanistic understandings and quantitative models for solid electrolyte interphase (SEI) formation, lithium dendrite nucleation, and growth. On the basis of previous theoretical understanding and analysis, recently proposed strategies to suppress dendrite growth of lithium metal anode and some other metal anodes are reviewed. A section dedicated to the potential of full-cell lithium metal batteries for practical applications is included. A general conclusion and a perspective on the current limitations and recommended future research directions of lithium metal batteries are presented. The review concludes with an attempt at summarizing the theoretical and experimental achievements in lithium metal anodes and endeavors to realize the practical applications of lithium metal batteries."
1,10.1002/eem2.12450,2023.0,High‐Energy Lithium‐Ion Batteries: Recent Progress and a Promising Future in Applications,"It is of great significance to develop clean and new energy sources with high‐efficient energy storage technologies, due to the excessive use of fossil energy that has caused severe environmental damage. There is great interest in exploring advanced rechargeable lithium batteries with desirable energy and power capabilities for applications in portable electronics, smart grids, and electric vehicles. In practice, high‐capacity and low‐cost electrode materials play an important role in sustaining the progresses in lithium‐ion batteries. This review aims at giving an account of recent advances on the emerging high‐capacity electrode materials and summarizing key barriers and corresponding strategies for the practical viability of these electrode materials. Effective approaches to enhance energy density of lithium‐ion batteries are to increase the capacity of electrode materials and the output operation voltage. On account of major bottlenecks of the power lithium‐ion battery, authors come up with the concept of integrated battery systems, which will be a promising future for high‐energy lithium‐ion batteries to improve energy density and alleviate anxiety of electric vehicles."
2,10.1002/adma.201800561,2018.0,30 Years of Lithium‐Ion Batteries,"Over the past 30 years, significant commercial and academic progress has been made on Li‐based battery technologies. From the early Li‐metal anode iterations to the current commercial Li‐ion batteries (LIBs), the story of the Li‐based battery is full of breakthroughs and back tracing steps. This review will discuss the main roles of material science in the development of LIBs. As LIB research progresses and the materials of interest change, different emphases on the different subdisciplines of material science are placed. Early works on LIBs focus more on solid state physics whereas near the end of the 20th century, researchers began to focus more on the morphological aspects (surface coating, porosity, size, and shape) of electrode materials. While it is easy to point out which specific cathode and anode materials are currently good candidates for the next‐generation of batteries, it is difficult to explain exactly why those are chosen. In this review, for the reader a complete developmental story of LIB should be clearly drawn, along with an explanation of the reasons responsible for the various technological shifts. The review will end with a statement of caution for the current modern battery research along with a brief discussion on beyond lithium‐ion battery chemistries."
3,10.1002/aenm.202102917,2022.0,"Recycling of Lithium‐Ion Batteries—Current State of the Art, Circular Economy, and Next Generation Recycling","Being successfully introduced into the market only 30 years ago, lithium‐ion batteries have become state‐of‐the‐art power sources for portable electronic devices and the most promising candidate for energy storage in stationary or electric vehicle applications. This widespread use in a multitude of industrial and private applications leads to the need for recycling and reutilization of their constituent components. Improving the “recycling technology” of lithium ion batteries is a continuous effort and recycling is far from maturity today. The complexity of lithium ion batteries with varying active and inactive material chemistries interferes with the desire to establish one robust recycling procedure for all kinds of lithium ion batteries. Therefore, the current state of the art needs to be analyzed, improved, and adapted for the coming cell chemistries and components. This paper provides an overview of regulations and new battery directive demands. It covers current practices in material collection, sorting, transportation, handling, and recycling. Future generations of batteries will further increase the diversity of cell chemistry and components. Therefore, this paper presents predictions related to the challenges of future battery recycling with regard to battery materials and chemical composition, and discusses future approaches to battery recycling."
4,10.1002/adfm.202200796,2022.0,Fast Charging Anode Materials for Lithium‐Ion Batteries: Current Status and Perspectives,"With the enormous development of the electric vehicle market, fast charging battery technology is highly required. However, the slow kinetics and lithium plating under fast charging condition of traditional graphite anode hinder the fast charging capability of lithium‐ion batteries. To develop anode materials with rapid Li‐ions diffusion capability and fast reaction kinetics has received widely attentions. This review summarizes the current status in the exploration of fast charging anode materials, mainly including the critical challenge of achieving fast charging capability, the inherent structures and lithium storage mechanisms of various anode materials, as well as the recent progress to improve the rate performance involving morphology regulation, structure design, surface/interface modification, as well as forming multiphase systems. Finally, the challenges and future directions of developing fast charging Li‐ion batteries are highlighted."
5,10.1002/adma.202200102,2022.0,Advances in the Development of Single‐Atom Catalysts for High‐Energy‐Density Lithium–Sulfur Batteries,"Although lithium–sulfur (Li–S) batteries are promising next‐generation energy‐storage systems, their practical applications are limited by the growth of Li dendrites and lithium polysulfide shuttling. These problems can be mitigated through the use of single‐atom catalysts (SACs), which exhibit the advantages of maximal atom utilization efficiency (≈100%) and unique catalytic properties, thus effectively enhancing the performance of electrode materials in energy‐storage devices. This review systematically summarizes the recent progress in SACs intended for use in Li‐metal anodes, S cathodes, and separators, briefly introducing the operating principles of Li–S batteries, the action mechanisms of the corresponding SACs, and the fundamentals of SACs activity, and then comprehensively describes the main strategies for SACs synthesis. Subsequently, the applications of SACs and the principles of SACs operation in reinforced Li–S batteries as well as other metal–S batteries are individually illustrated, and the major challenges of SACs usage in Li–S batteries as well as future development directions are presented."
6,10.1002/aenm.202201044,2022.0,Anode‐Free Solid‐State Lithium Batteries: A Review,"Anode‐free solid‐state lithium batteries are promising for next‐generation energy storage systems, especially the mobile sectors, due to their enhanced energy density, improved safety, and extended calendar life. However, the inefficiency of lithium plating and stripping leads to rapid capacity degradation due to the absence of excess lithium inventory. Therefore, dissecting the difficulties and challenges faced by anode‐free solid‐state lithium batteries can pave the way to improving the cycle life of many lithium batteries. In this review, the key issues affecting capacity degradation are elaborated step‐by‐step based on the current understanding of anode‐free solid‐state lithium batteries. Furthermore, various strategies for optimizing performance are targeted. Finally, future opportunities and possible directions for anode‐free solid‐state lithium batteries are evaluated, aiming to stimulate the exploration of this emerging field."
7,10.1039/d1ee03292e,2022.0,Challenges and Advances for Wide-Temperature Rechargeable Lithium Batteries,"Rechargeable lithium batteries (RLBs), including lithium-ion and lithium-metal systems, have recently received considerable attention for electrochemical energy storage (EES) devices due to their low cost, sustainability, environmental friendliness, temporal and..."
8,10.1002/smll.202205315,2022.0,Research Progresses of Liquid Electrolytes in Lithium-Ion Batteries.,"In recent years, the rapid development of modern society is calling for advanced energy storage to meet the growing demands of energy supply and generation. As one of the most promising energy storage systems, secondary batteries are attracting much attention. The electrolyte is an important part of the secondary battery, and its composition is closely related to the electrochemical performance of the secondary batteries. Lithium-ion battery electrolyte is mainly composed of solvents, additives, and lithium salts, which are prepared according to specific proportions under certain conditions and according to the needs of characteristics. This review analyzes the advantages and current problems of the liquid electrolytes in lithium-ion batteries (LIBs) from the mechanism of action and failure mechanism, summarizes the research progress of solvents, lithium salts, and additives, analyzes the future trends and requirements of lithium-ion battery electrolytes, and points out the emerging opportunities in advanced lithium-ion battery electrolytes development."
9,10.3390/en15051611,2022.0,Recycling of Lithium Batteries—A Review,"With the rapid development of the electric vehicle industry in recent years, the use of lithium batteries is growing rapidly. From 2015 to 2040, the production of lithium-ion batteries for electric vehicles could reach 0.33 to 4 million tons. It is predicted that a total of 21 million end-of-life lithium battery packs will be generated between 2015 and 2040. Spent lithium batteries can cause pollution to the soil and seriously threaten the safety and property of people. They contain valuable metals, such as cobalt and lithium, which are nonrenewable resources, and their recycling and treatment have important economic, strategic, and environmental benefits. Estimations show that the weight of spent electric vehicle lithium-ion batteries will reach 500,000 tons in 2020. Methods for safely and effectively recycling lithium batteries to ensure they provide a boost to economic development have been widely investigated. This paper summarizes the recycling technologies for lithium batteries discussed in recent years, such as pyrometallurgy, acid leaching, solvent extraction, electrochemical methods, chlorination technology, ammoniation technology, and combined recycling, and presents some views on the future research direction of lithium batteries."
