,Unnamed: 0,doi,publication,publisher,title,year,Abstract
2,2,10.1016/j.cej.2021.130097,,,Weakening conformational locking for fine tuning of morphology and photovoltaic performance by introducing a third component,2021,"Abstract Herein, a new polymer o-PBTA-PSF (P1) is synthesized with a donor unit 4,8-bis(2-fluoro-4-((2-hexyldecyl)thio)phenyl)benzo[1,2-b:4,5-b']dithiophene containing the fluorine atoms (named o-BDTPSF) and an acceptor unit 4,7-bis(5-bromothiophen-2-yl)-5,6-difluoro-2-(2-hexyldecyl)–2H-benzo[d][1,2,3]triazole. However, a low power conversion efficiency (PCE) of 6.46% is obtained for P1:ITIC-based devices. The poor performance ascribes to the strong aggregation originating from the conformational locking in the polymer backbone. Hence, we employ the random ternary polymerization strategy to synthesize a series of donor polymers to weaken the conformational locking and achieve excellent photovoltaic performance. The terpolymer P4 obtains the optimal PCE of 13.26% with an incorporation of 30% BDTPS, a similar structure of o-BDTPSF, into the P1 polymer backbone. This significant improvement benefits from the enhanced JSC and FF, resulting from the appropriate aggregation and better phase separation in the active layer. These results indicate that the photovoltaic performance could be improved through the strategy of random copolymerization and conformational control."
4,4,10.1016/j.dyepig.2021.109543,,,Greater miscibility and energy level alignment of conjugated polymers enhance the optoelectronic properties of ternary blend films in organic photovoltaics,2021,"Abstract In this study, we examined the effects of using the p-type conjugated polymers J51 and FATZ as the third component in PM6:Y6–based donor:donor:acceptor (D:D:A) ternary organic photovoltaics (OPVs). We used UV–Vis spectroscopy, photoluminescence spectroscopy, atomic force microscopy, and grazing-incidence wide-angle X-ray scattering to investigate the optoelectronic and morphological properties of the resulting ternary blend films. We evaluated the carrier transport properties of these OPVs to identify the mechanism governing their power conversion efficiencies (PCEs). Of our two tested polymers, FTAZ had more suitable energy levels and miscibility; therefore, its presence increased the open-circuit voltage of the resulting ternary device. The embedded FTAZ facilitated the molecular packing of Y6 and improved the charge transport in the ternary blend, thereby improving the PCE of the device from 14.3% (binary) to 15.3% (ternary)."
5,5,10.1016/j.orgel.2021.106235,,,Effects of functionalization of Y6 end-groups with electron-withdrawing groups on the photovoltaic properties at the donor-acceptor interfaces of PM6/Y6 OSCs: A theoretical insight,2021,"Abstract Since the high performance non-fullerene acceptor Y6 appears, many organic solar cells (OSCs) based on it and its derivatives have been fabricated and studied. These OSCs show delicate changes of open circuit voltage (VOC), short circuit density (JSC), and fill factor (FF) with respect to prototype PM6/Y6 OSC. So far, the effects of functionalization of Y6 end-groups with electron-withdrawing groups on the photovoltaic properties at the donor-acceptor interfaces of PM6/Y6 OSC are still not well understood. In the present work, by modelling four OSCs based on symmetrical (Y6, Y6-4Cl, and Y6-4CN) and asymmetrical (Y6-2Cl) molecules, we find that for symmetrical Y6 and Y6-4Cl based OSCs, the computed VOCs and FFs obtained with reliable computational method show the same trend as experimental data, but the computational method used does not apply for asymmetrical Y6-2Cl based OSC. In addition, with respect to fluorination, chlorination generally would bring stronger simulated interfacial absorption spectrum, the smaller exciton binding energy of local excited state of monomers and charge transfer state at the interface, smaller singlet−triplet energy gap, the higher total oscillator strength of all CT states, and larger interfacial electrostatic potential difference. In contrast, PM6/Y6-4CN has relative much lower total oscillator strength of all CT states and predicted VOC and FF than prototype Y6/PM6 though the end-groups with CN substitutions have much stronger electron withdrawing ability. Our results gain insights into the donor-acceptor interfacial properties of OSCs based on Y6 and its derivatives."
6,6,10.1002/adma.202101295,,,Narrow-Bandgap Single-Component Polymer Solar Cells with Approaching 9% Efficiency,2021,"Two narrow-bandgap block conjugated polymers with a (D1-A1)-(D2-A2) backbone architecture, namely PBDB-T-b-PIDIC2T and PBDB-T-b-PTY6, are designed and synthesized for single-component organic solar cells (SCOSCs). Both polymers contain same donor polymer, PBDB-T, but different polymerized nonfullerene molecule acceptors. Compared to all previously reported materials for SCOSCs, PBDB-T-b-PIDIC2T and PBDB-T-b-PTY6 exhibit narrower bandgap for better light harvesting. When incorporated into SCOSCs, the short-circuit current density (Jsc ) is significantly improved to over 15 mA cm-2 , together with a record-high power conversion efficiency (PCE) of 8.64%. Moreover, these block copolymers exhibit low energy loss due to high charge transfer (CT) states (Ect ) plus small non-radiative loss (0.26 eV), and improved stability under both ambient condition and continuous 80 °C thermal stresses for over 1000 h. Determination of the charge carrier dynamics and film morphology in these SCOSCs reveals increased carrier recombination, relative to binary bulk-heterojunction devices, which is mainly due to reduced ordering of both donor and acceptor fragments. The close structural relationship between block polymers and their binary counterparts also provides an excellent framework to explore further molecular features that impact the photovoltaic performance and boost the state-of-the-art efficiency of SCOSCs."
11,11,10.1007/s11664-021-09020-5,,,Optimization of Nanoparticle Organic Photovoltaic Device Performance using SCAPS Software,2021,"The fabrication of nanoparticle (NP) organic photovoltaic (OPV) solar cells has attracted great interest due to the possibility of controlling the morphology of the active layer and eliminating harmful solvents. However, NP OPV devices exhibit low efficiency compared with bulk heterojunction devices. The solar cell capacitance simulator (SCAPS) simulation package using a framework based on a one-dimensional drift–diffusion model is applied in the current work to improve the efficiency of NP OPV devices with a poly(3-hexylthiophene) (P3HT):phenyl C61 butyric acid methyl ester (PCBM) active layer. The optimization results confirm that the best thickness for the active layer is 100 nm to 120 nm and that the device reaches its highest performance in this thickness range but low efficiency for thicknesses above 120 nm. Changing the electron mobility (in the range of 1 × 10−3 cm2/V-s < µe < 1 × 10−4 cm2/V-s) is found to have no impact on the device efficiency, whereas the device performance is improved by 27% when the hole mobility is varied in this range (1 × 10−3 cm2/V-s < µh < 1 × 10−4 cm2/V-s). Additionally, the donor and acceptor density (ND and NA) are optimized, revealing that the best values of 1 × 1015 cm−3 and 1 × 1018 cm3, respectively, lead to an improvement in the device efficiency by about 60%. The current findings indicate that the performance of NP OPV devices can indeed be enhanced by optimizing the morphology of the active layer."
12,12,10.1016/j.ijleo.2021.166787,,,DFT molecular modeling studies of D-π-A-π-D type cyclopentadithiophene-diketopyrrolopyrrole based small molecules donor materials for organic photovoltaic cells,2021,"Abstract A novel six D-π-A-π-D type compounds containing small molecules from cyclopentadithiophene (CPDT) and diketopyrrolopyrrole building (DPP) units were designed, as donors, for improving the efficiency of bulk hetero-junction solar cells. The geometries of the title compounds were optimized using the density functional theory at the hybrid functional B3LYP in combination with the 6−311 g(d,p) basis set. Electronic structures, photo-physical, optical and intra-molecular charge transfer properties have been investigated. The contour plots of the transition density matrix have been simulated for all compounds and used to evaluate the hole-electron localization, the donor-acceptor interaction as well as the electronic excitation processes in their excited states. The new designed donors have shown a large absorption in the visible range with interesting hole transport properties, resulted from their rigid-planar structures. The open circuit voltage and the fill factor were estimated. The present computational study showed that tuning the building blocks of the organic materials dispose a potential approach for further enhance the performance of small molecules donor materials in bulk hetero-junction (BHJ) organic solar cells."
13,13,10.1088/1742-6596/1963/1/012012,,,DFT/TD-DFT Study of Donorπ-Acceptor Organic Dye models contained Triarylamine for an Efficient Dye-Sensitized Solar Cell,2021,"A systematic theoretical study was performed for dipolar triarylamine-based Dπ-A dyes. These dyes are composed of good required features to be active for enhancing the efficiency of solar cell such as arylamine donor moieties, and an acceptor part with cyanoacetic acid, while the conjugation process is adopted by the fluorene or biphenyl linkers. The required properties both electronic and opticals were computed with DFT/TDDFT levels and 6-31G (d, p) basis set, then show the response of the efficiency. The obtained results have predicted the excitation energies, HOMO-LUMO energy levels which indicate an improvement in the two principle processes; electron injection and the regeneration of dyes. Also, the important factors in close connection with the short-circuit current density (Jsc), such as light-harvesting efficiency (LHE), the open-circuit photovoltage (Voc), total reorganization energy (λtotal) and injection driving force (ΔGinject) have been explained. As a result, the calculated data verify that the D dye can represent a potential sensitizer for solar cells, this can be rationalized by its reasonable photovoltaic parameters with other electronic and optical properties."
17,17,10.1016/j.dyepig.2021.109387,,,Molecular packing modulation enabling optimized blend morphology and efficient all small molecule organic solar cells,2021,"Abstract The molecular planarity of a small molecule donor is one of the key factors affecting its molecular packing behavior, the morphology of the related active blend and thus the photovoltaic properties of all small molecule organic solar cells (ASM-OSCs). In this contribution, a series of new benzodithiophene (BDT)-based A-π-D-π-A type small molecules were developed, namely SD1, SD2 and SD3, by combining the chemical modification of side chain (sulfuration), π-bridge (alkoxy groups introducing) and end group (different type or different alkyl chain). The sulfuration of the BDT side chains and introducing alkoxy group to the π-bridge could induce intermolecular S⋯S and intramolecular S⋯O non-covalent interactions for higher planarity of these small molecules. The rhodanine and cyanoacetate end groups showed less effect on the optical and electronic properties but significantly affected the molecular packing behavior and blend morphology. From SD1:Y6-T to SD2:Y6-T and SD3:Y6-T, the face-to-face packing was gradually reduced, while the face-to-edge packing was increased, which resulted in lowered exciton dissociation efficiency, further decreased the device performance. SD1:Y6-T blend exhibited more favorable face-to-face packing and ideal morphology for efficient charge dissociation and transport, contributing to a champion PCE of 10.12%. This work provided a deep insight of the donor and acceptor packing behavior effect on the photovoltaic property by molecular design."
18,18,10.1016/j.nanoen.2021.105957,,,Overcoming incompatibility of donors and acceptors by constructing planar heterojunction organic solar cells,2021,"Abstract Nanoscale phase separation plays a critical role in achieving high photovoltaic performance in bulk-heterojunction organic solar cells, which is limited by solubility, crystallinity, and the compatibility of the donors and acceptors. However, these limits can be overcome by new applications of the traditional planar heterojunction structure. Herein, we demonstrate quasi-orthogonal solvents for a wide-band-gap donor (P2F-EHp) and a highly crystalline non-fullerene acceptor (M4–4F) to overcome the over-agglomeration and enabled the fabrication of a planar heterojunction device with a favorable power conversion efficiency of 14.2% (compared with 12.7% in bulk-heterojunction device), which is among one of the highest efficiencies of planar heterojunction devices to date. Detailed studies based on cross-sectional transmittance electron microscopy, grazing incidence wide-angle X-ray scattering at various incident angles, and resonance soft X-ray scattering measurements confirmed the formation of optimal nanoscale morphology. Further transient absorption measurements also proved that the exciton dissociation and free-carrier generation efficiency are not limited by the small mixed-phase area and large pure domains. These findings show insights into the intrinsic morphological changes and charge transfer process in bulk-heterojunction and planar heterojunction structures, providing a novel method for matching donors and acceptors with relatively poor compatibility."
19,19,10.1016/j.nanoen.2021.105963,,,Synergistically minimized nonradiative energy loss and optimized morphology achieved via the incorporation of small molecule donor in 17.7% efficiency ternary polymer solar cells,2021,"Abstract To further improve the photovoltaic performance of the polymer solar cells (PSCs), it is an essential and significantly challenging issue to synergistically minimize non-radiative energy loss and optimize morphology. In this work, ternary PSCs are fabricated by incorporating a small molecule donor, namely BTTzR, into the state-of-the-art PM6:Y6 binary system. Detailed investigations suggest that BTTzR can form energy cascade with binary components to facilitate charge transfer. Furthermore, the integration of BTTzR can enhance crystallization and domain purity of the binary blend, and effectively suppress the aggregation of Y6, which ultimately leads to more efficient charge transport and lower non-radiative energy loss (ΔEnr). As a result, compared to the binary devices with PCE of 15.8% and ΔEnr of 0.23 eV, the ternary PSCs with 20% BTTzR contents achieved a significantly enhanced performance with PCE of 17.7% and lower ΔEnr of 0.19 eV, which are among the best results reported in the literatures to date. Therefore, this work not only offers a high-efficiency ternary blend system but also provides an efficient strategy to synergistically minimize non-radiative energy loss and optimize the morphology for the development of PSCs."
